session_number,session_file,question_num,page_num,stem,choice_A,choice_B,choice_C,choice_D,matched_subcategory,match_score
33,33-SLIDES_sports-medicine.pdf,4,17,You have been invited to present a grand rounds lecture on “Sports Injuries in High School Athletes.” Which of the following statements would you include in your talk? athletics knee injury in high school athletics National High School Sports-Related Injury Surveillance Study 2018-2019 Not reporting 2020-2023 results due to alterations in data due to SARS-CoV2 pandemic National High School Sports-Related Injury Surveillance Study 2018-2019 Not reporting 2020-2023 results due to alterations in data due to SARS-CoV2 pandemic Most Commonly Injured Body Region (%) National High School Sports-Related Injury Surveillance Survey 2018-2019 Percent (%) Head/Face 21.4 Ankle 18.3 Knee 13.8 Hip/Thigh 9.99. Hand/Wrist 7.97.9 Shoulder 7.77.7 Trunk 5.75.7 Low Leg 4.24.2 Foot 3.93.9 Arm/Elbow 3.53.5 Not reporting 2020-2023 results due to alterations in data due to SARS-CoV2 pandemic Most Commonly Injured Knee Structure Percent of All Injuries (%) National High School Sports-Related Injury Surveillance Survey 2018-2019 Male Female Total MCL 30.7 21.8 27.6 Patella 16.9 29.7 21.4 Patellar tendon Meniscus 21.5 21.4 21.5 ACL 20.5 23.3 21.5 LCL 6.2 4.4 5.5 PCL 2.6 4.2 3.2 Not reporting 2020-2023 results due to alterations in data due to SARS-CoV2 pandemic,Football has the highest injury rate,Injury rates are higher in practice as opposed to competition,The knee is the most commonly injured body part in high school,The anterior cruciate ligament [ACL] is the most commonly reported,Concussion Management,0.444
33,33-SLIDES_sports-medicine.pdf,5,20,In a 20 year old otherwise healthy athlete which physical exam test is the most sensitive maneuver for the corresponding knee injury? Best Physical Exam Maneuvers For Knee Injuries • ACL  Lachman test • PCL  Posterior Drawer test • Medial collateral ligament  Valgus Stress test • Meniscal Tear  Thessaly maneuver (single or double-legged) Jackson et al. Ann IntMed 2003; Scholtenet al. J Fam Pract2003; Benjaminseet al. J OrthopSports PhyTher2006; Harrison BK et al. ClinJ Sport Med 2009,Thessaly test  meniscal tear,Anterior drawer test  anterior cruciate ligament,McMurray test  meniscal tear,Valgus stress test  lateral collateral ligament,Stress Fracture Diagnosis,0.125
33,33-SLIDES_sports-medicine.pdf,6,22,"Which one of the following statements is true regarding ACL injuries? osteoarthritis ACL Tears • 70% are noncontact injuries In HS sports, football has highest rate; in collegiate sports, ♀ soccer Female athletes at higher risk • Neuromuscular training reduces risk of injury in female athletes Surgical repair is treatment of choice for instability • Knee bracing is ineffective for the 1⁰ or 2⁰ prevention of ACL injuries • Development of OA is similar whether ACL repaired or not Herring SA et al. Med SciSports Exer2015; Sadoghiet al. JBJS(A) 2012; FPIN 2011; Agelet al. Am J Sports Med, 2005; Scholtenet al. JFP, 2003; Chalmers PN et al. JBJS (Am) 2014; TsoukasD et al. Knee Surg Sports TraumatolArthrosc2016",Prevention programs are ineffective at reducing ACL injury,Bracing is effective in the secondary prevention of ACL injury,"In high school sports, football has the highest rate of ACL injury",Surgical repair of an ACL tear results in lower rates of knee,Concussion Management,0.222
33,33-SLIDES_sports-medicine.pdf,7,23,"A 26 yo male suffers an inversion ankle injury and ambulates to the ED for evaluation. You find lateral ankle swelling and tenderness over the anterior distal fibula. The next best course of action includes… Ankle Sprains • Lateral sprains most common (80%) • High (syndesmotic) sprain 15% • Medial ankle sprain 5% • Initial treatment with rest, ice, elevation, protection Early range of motion © 2001 Floyd E. Hosmer improves recovery (A) BMJ. www.clinicalevidence.com Karlssonet al. ScandJ Med SciSports, 1999 Dettoriet al. Mil Med, 1994 Thacker et al. Am J Sports Med, 1999 Wolf Michael et al, Am FamPhysician. 2001 Jan Ankle Sprains Clinical Recommendations • NSAIDs reduce pain post-injury and may reduce time for return to play • Ankle bracing is effective for both the 1⁰ and 2⁰ prevention of ankle sprains • Graded exercise programs and proprioceptive training are recommended to reduce the risk of ankle sprains Kaminski TW et al. J AthlTrain 2013 AFP 2006; 74(10) Ottawa Ankle Rules • X-ray if… Malleolar pain or pain in region of [ankle xray] navicular or proximal 5th metatarsal [foot x-ray] AND Inability to weight bear 4 steps at exam OR Discrete bone tenderness at any site noted (striped areas) Stiellet al. JAMA, 1994 (A) Ivins, Am FamPhysician.2006 Nov 15 Impingement Neuropathies • Handlebar neuropathy Cyclists; entrapment of the ulnar nerve at Guyan’scanal, paresthesias in the palmar 5thand ulnar aspect of the 4thdigits of affected hand(s) • Ulnar neuropathy (cubital tunnel) Throwers and pitchers; irritation or subluxation of the ulnar nerve at the cubital tunnel, paresthesias/pain in the ulnar forearm and dorsal aspect of 5thand ulnar aspect of the 4thdigits of the throwing arm • Saddle neuropathy Cyclists; entrapment of the pudendal nerve due to a narrow seat • Peroneal neuropathy Contact sports due to trauma to lateral aspect of knee/foreleg or proximal fibular fracture or compression from a tight cast/brace; foot drop Answers 1. C 2. B 3. A 4. A 5. A 6. C 7. B Supplemental Slides Skin Infections • Infections spread by direct physical contact or via fomites • Risk factors include previous history of infection, close contact, poor personal hygiene, body shaving, overuse of antibiotics, sharing of fomites (towels, equipment) • Withhold athletes with bacterial, viral, or fungal infections from practice or competition until adequately treated (= noninfectious) • Covering lesions alone isn’t appropriate as primary treatment Treating MRSA carriers to prevent spread is controversial Female Athlete Triad or Relative Energy Deficiency in Sport Spectrum Disorder • Low energy availability • Menstrual irregularity • Osteoporosis • New name = Relative Energy Deficiency in Sport [RED-S] Source: Female Athlete Triad Coalition. www.femaleathletetriad.org • Multidisciplinary treatment team (MD/DO, RD, PhD) Don’t prescribe OCP as initial treatment for athletes with amenorrhea or menstrual dysfunction due to RED-S Female Athlete Triad Spectrum Disorder  A level statements •Menstrual irregularity and low BMD increase risk of stress fracture •Disordered eating, ED, amenorrhea occur more frequently in sports that emphasize leanness  B level statements •Functional hypothalamic amenorrhea is a diagnosis of exclusion  C level statements •Screening should occur at PPE or annual exam •Athletes with 1 component of the FAT should be assessed for others •Athletes with disordered eating should be referred to mental health •DXA if stress fracture & 6 months of amenorrhea/oligomenorrhea/disordered eating or ED •In functional hypothalamic amenorrhea, BMD increases with weight increase moresothan with OCP/HRT supplementation Nattivet al. Med SciSports Exer2007 Acute Knee Injury Historical Findings MeniscalTear ACL Tear PCL Tear Patellar PatellarTendon Dislocation Tear Mechanism Twistingon fixed foot Noncontact(70%), Fallon flexed knee, Flexionwith valgus Violent quad hyperextension, dashboard injury moment, direct force contraction deceleration, rotatory force Onset of swelling Delayed Acute Delayed or absent Acute or delayed Acute Locationof pain Joint line Posterior knee Anterior and medial Anteriorknee knee Ability to continue Yes No Yes +/- No activity Clicking or locking +if bucket handle or No No No No displaced meniscus Instability No Yes No +/- Unableto WB Extensor Mechanism Rupture Quadriceps Tendon Patellar Tendon • Most common form • Least common form • Age > 40 • Age < 40 • Acute injury • Acute injury • Extensor lag • Extensor lag • Indentation at superior patella • High riding patella on exam and low-riding patella on or radiographs radiographs • Surgical correction • Surgical correction Knee Pearls • No difference in any outcomes at 12 months between partial meniscectomy and sham surgery for degenerative meniscal tears in the absence of OA [SihvonenR et al. NEJM 2013] Avoid recommending knee arthroscopy for patients with degenerative meniscal tears and no mechanical symptoms. • 10 yr observational study demonstrated no difference in outcomes [meniscal tear, OA, activity level] for those with ACL tears who were treated surgically or non-surgically [MeuffelsDE et al. Br J Sports Med 2009] • 121 young adults randomized to ACL reconstruction vs rehab with potential for late reconstruction [FrobellRB et al. NEJM 2010] • No significant difference in outcomes • Delayed reconstruction allowed for 61% of subjects to avoid surgery without compromising results",Avoidance of the use of ankle bracing after his injury resolves,Recommendation for early range of motion for the ankle,Avoidance of use of NSAIDs,Radiographs of the ankle,Ankle Sprain Management,0.625
34,34-SLIDES_pediatric-orthopedics.pdf,1,5,"Which of the following statements is true regarding bone tumors in the pediatric & adolescent population? in this population this population Malignant Bone Tumors of Childhood • Osteosarcoma • Ewing’s Sarcoma Most common bone cancer 2nd most common bone cancer @ physis of long bones (knee & @ long bones most commonly shoulder) Onset in teenage years 10-30 yo, 50% occur in those < 19 years Chemo/surgery/radiation Chemo/surgery/chemo Benign Bone Tumors of Childhood • Nonossifying Fibroma • Osteochondroma Most common benign bone 2nd most common benign bone tumor in children tumor in children 2♂ : 1♀ Develops during childhood/adolescence Incidental finding Solitary or multiple Most commonly in the distal femur or distal tibia Grows as child grows Resolves with skeletal Most diagnosed at 10-30 years maturity Monitor & treat symptomatically",Ewing’s sarcoma is the most common malignant bone tumor,Osteochondroma is the most common benign bone tumor in,Osteosarcoma most commonly arises in the spine or pelvis,Non-ossifying fibromas resolve with skeletal maturity,Osgood-Schlatter Disease,0.214
34,34-SLIDES_pediatric-orthopedics.pdf,2,8,"A 6 yo female is brought to your office for evaluation. She was born at 39 3/7 weeks by NSVD without complication. She has met all orthopedic developmental milestones. Her mother notes that she has been more clumsy at recess, occasionally falling when running. On examination you note that her patellae point inward, and her feet point inward, and there is no joint or limb tenderness or swelling; her neurological exam is normal. What is the most likely diagnosis? Intoeing • Metatarsus adductus Most common congenital foot deformity 85-90% resolve by one year of age • Internal tibial torsion Most common cause of intoeing Walks with patella facing forward and feet intoeing 90% resolve by age 8 PT, orthotics, splints are not effective Figures © Texas Scottish Rite Hospital for Children Intoeing • Femoral anteversion Both patellae and feet point inward Tendency to sit in a “W” position Most noticeable at age 4-6 yrs 80% improve by age 9-10 yrs Figure © of Texas Scottish Rite Hospital for Children Surgery at age 9-10 if more severe",External tibial torsion,Internal tibial torsion,Femoral anteversion,Femoral retroversion,Osgood-Schlatter Disease,0.214
34,34-SLIDES_pediatric-orthopedics.pdf,3,10,"A 15 yo male is brought into your office for evaluation of a new limp. He plays football as an offensive lineman and noted onset after practice 3 days ago. He has not been ill and no recent immunizations. Examination demonstrates T 98.6⁰ F, P 74, Ht 72”, Wt200 lbs, antalgic gait, and limited and painful ROM in the left hip. What is your presumptive diagnosis?",Legg-Calve-Perthes,Transient synovitis of the hip,Slipped capital femoral epiphysis,Osteochondritis dissecans of the knee,Osgood-Schlatter Disease,0.071
34,34-SLIDES_pediatric-orthopedics.pdf,4,11,"A 7 yo female is brought to the ED with right hip pain and a new limp. Onset has been abrupt in the last 12 hours. No known trauma or injury. She is otherwise well and no recent illness or immunizations. On examination you note a T 39.2⁰ C, normal respirations, pulse & BP. The right hip appears normal, is painful with ROM, and she limps with ambulation. Hip radiographs are normal. Which of the following is most useful in determining your treatment plan? Transient Synovitis* SlippedCapital Legg-Calvé-Perthes Femoral Epiphysis Age 4-11 years 11-16 years 4-8 years Risks If febrile, consider septic hip; Male, African-American, PerinatalHIV infection, LBW, Transientsynovitis usually afebrile or low obesity +FH, low SES grade temp elevation AntalgicGait Yes Yes Yes, and may be intermittent ROM Limited and painful Limited and painful ▼abduction and IR X-rays Yes, to rule out bony process Yes (bilateral), for diagnosis Yes, for diagnosis and may need to repeat Caution Need to consider septic hip; 1) NWB and Inan acute SCFE, riskof Insidious onset, pain can CRP>20 (74% probseptichip); WB and AVN is 30% radiate to thigh and knee, CRP<20 (<1% probability of septic hip). 2) poorprognosis if age > 6 T>38.1, CRP>2, ESR>40, WBC>12k, NWB –all increase risk of septic hip Management Ibuprofen to shorten course Surgical referral –immediate if Earlypediatric orthopedic acute referral *most common Slipped Capital Femoral Epiphysis Slipped Capital Femoral Epiphysis External rotation during passive hip flexion (Drehmannsign) Treatment Considerations Contralateral fixation indicated for high-risk patients • initial slip at age < 10, obese males, those with endocrinopathies Consider hypothyroidism or GH deficiency if < 10 years of age at presentation Legg-Calvé-Perthes Flattening and early fragmentation of the femoral epiphysis Transient Synovitis vs Septic Hip Transient Synovitis vs Septic Hip Patient presents with fever, hip pain, and limp. Temperature, x-ray, CBC, labs recommended In order to evaluate for septic hip --x-ray negative and… T > 38.1 CRP > 2.0 ESR > 40 WBC > 12,000 As concern for septic hip rises, then Non-Weight Bearing hip ultrasound ►if effusion present As more factors become positive, then aspiration, gram stain and culture then risk of septic hip rises Kocher et al. JBJS 1999",CBC alone,CBC and ESR,Aspiration of the hip joint,"CBC, ESR and CRP",Osgood-Schlatter Disease,0.286
34,34-SLIDES_pediatric-orthopedics.pdf,5,14,"A 12 yo male is brought in for evaluation of his right elbow pain. He is a pitcher on his middle school baseball team. Onset was insidious, occurred about 3 weeks into his baseball season, and is aggravated by throwing and relieved by rest. He has noted decreased velocity and accuracy of his pitches. On exam you note tenderness at the right medial epicondyle. You conclude the following: Traction Apophysitis • Insidious onset that results from overuseof the [tendon and] surrounding ossification centers Rapid increase in training Consistent high intensity training Limited recovery time • Boys 10-14 years of age most commonly affected • Often occurs at or after growth spurt • Physical activity required • These are clinical diagnoses and radiographs are not neededin the appropriate clinical setting Little League Elbow Baseball players and Their Shoulder Injuries; Houston Clinic Health Alert • Progressive medial elbow pain, ▼ throwing accuracy/speed/distance • Refrain from throwing for 3-6 weeks until pain-free & nontenderthen progressive return-to-throwing program with focus on proper throwing mechanics • Major League Baseball preventive measures = 4 months rest per year, no radar guns, and avoid playing pitcher and catcher Caution Overhead athletes with open growth plates at risk: Swimming Think of this as a stress Baseball fracture of the proximal Volleyball Tennis humeral physis Gymnastics",This is a lateral epicondylar stress fracture,This is an apophysitis,This is golfer’s elbow,This is tennis elbow,Osgood-Schlatter Disease,0.357
34,34-SLIDES_pediatric-orthopedics.pdf,6,17,"An 11 yo male is brought to your office for evaluation of bilateral posterior heel pain that has occurred for the past few months. He plays basketball and soccer several times a week, and the pain begins several minutes into each of these activities. There is no pain at rest or with walking. He denies numbness, tingling, or weakness. On exam you find no swelling or tenderness of the heel or Achilles tendon. Reflexes, strength, and range of motion at the ankle are intact, but he does have bilateral posterior heel pain when you passively and fully dorsiflex the ankles.",,,,,Osgood-Schlatter Disease,0.143
34,34-SLIDES_pediatric-orthopedics.pdf,6,17,"Which one of the following is the most likely diagnosis? Apophysitis Site Name Attachment Age Symptoms Management Medial epicondyle Little league Wrist flexors 9-14 Medial elbow pain with Rest from throwing, then elbow throwing rehab ASIS (ant sup iliac spine) Sartorius 10-14 Anterior hip pain Rest, ice, stretch, activitymodification AIIS (ant inf iliac spine) Rectus femoris 10-14 Anterior hip pain Ischial tuberosity Hamstring Posteriorbuttock/thigh pain Tibial tuberosity Osgood- Patellar tendon 10-14 Anterior knee pain, Addquad and Schlatter’s 30% bilateral hamstring stretching & strengthening Calcaneus Sever’s Achilles 8-12 Posteriorheel pain, Add heellift or heel 60% bilateral cup initially; heel cord stretching to prevent recurrence 5thmetatarsal Iselin’s Peroneus brevis Prox5thMT pain Add heel lift, post op shoe, recovery averages 38 days Pelvic Avulsion Fractures • More common in sports that require sprinting, jumping, rapid pivoting • Forceful muscle contraction avulses the apophysis resulting in fracture • ASIS – sartorius [shown in radiograph] • AIIS – rectus femoris • Ischial tuberosity – hamstring • Manage with rest (crutches) just as you would treat a fracture Pediatric ACL Injury If recurrent knee instability due to ACL tear ► early repair reduces risk of additional injury [>12 weeks from date of injury led to ▲medial meniscal tears, ▲articular cartilage injury] ACL repair can be done via physeal sparing or traditional reconstruction techniques [risk of limb shortening or angular deformity = 2%] Lawrence JT et al. Am J Sports Med 2011; FroschKH et al. Arthroscopy 2010 Idiopathic Scoliosis • Females more commonly affected • Prevalence of 0.5-3% • Infantile idiopathic scoliosis [0-2 yrs] is most likely to spontaneously resolve • Juvenile idiopathic scoliosis [3-9 yrs] may be considered the most malignant form due to high rates of progression • Adolescent idiopathic scoliosis [10-18 yrs] is most common Idiopathic Scoliosis • Females more commonly affected • Prevalence of 0.5-3% • Infantile idiopathic scoliosis [0-2 yrs] is most likely to spontaneously resolve • Juvenile idiopathic scoliosis [3-9 yrs] may be considered the most malignant form due to high rates of progression • Adolescent idiopathic scoliosis [10-18 yrs] is most common",Plantar fasciitis,Sever’s disease,Heel pad syndrome,Achilles tendonopathy,Osgood-Schlatter Disease,0.5
34,34-SLIDES_pediatric-orthopedics.pdf,7,21,"Pediatric obesity is associated with each of the following except: repair Skeletal Impact of Obesity Pediatric & Adolescent Fracture Delayed fracture healing Surgical complications of fracture repair Slipped Capital Femoral Epiphysis Blount’s disease Flat feet Low back pain and herniated disc disease Arthritis Impaired mobility Answers 1.D 2.C 3.C 4.D 5.B 6.B 7.B Supplemental Slides Pediatric Movement Disorders Cerebral Palsy Brain insult due to hemorrhage, infection, toxin, or anoxia Most common childhood physical disability Spastic type (70%) is most common ►stiff, exaggerated movements Nonprogressive Diagnosis @ 18 mo–5 years Club Foot • Males > females • ~80% detected by US at 24 weeks gestation Reproduced with permission from Ortholnfo. © American Academy of OrthopaedicSurgeons, http://orthoinfo/aaos.org • Management includes serial casting [Ponseti method] • Surgical correction occurs at 9-12 months, if needed Osteochondritis Dissecans of the Knee • ♂ > ♀, average age 10-20 years, bilateral in 30-40% • 85% occur in the medial epicondyle & 70% at the lateral aspect of the medial epicondyle (LAME) • Radiographs as initial test (tunnel or notch view) MRI can demonstrate degree of involvement • • Girls < 11 & boys < 13 usually do well without surgery if fragment intact Osgood Schlatter’s Prolotherapy  RCT of conservative care vs double-blind injection of 1% lidocaine with or w/o 12.5% dextrose monthly x 3  65 knees  ♀ 9-15 yo, ♂ 10-17 yo  Prolotherapy resulted in maintaining unaltered sport (21/21 dextrose, 20/22 lidocaine, 13/22 conservative); fewer symptoms; and asymptomatic state at one year TopolGA. et al. Pediatrics 2011 Benign Nocturnal Limb Pains of Childhood “Growing Pains” • Affects 35% of 4-6 yo (can persist to age 19) • Bilateral and affects lower extremities • Deep cramping pain that often awakens from sleep • Resolves by morning • NO LIMP • Aggravated by heavy exercise during the day • Management: Reassurance, heat, massage, warm baths, exercise to non-aggravating levels, mild analgesics Uzielet al. PediatrRheumatol2007 Evans et al. J Pediatr2004",Impaired mobility,Overall lower risk of fracture,Longer fracture healing times,Higher risk of surgical complications for fracture,Osgood-Schlatter Disease,0.643
35,35-SLIDES_common-ent-problems.pdf,1,3,"A 12-month-old male patient is brought into your office by his mother for fever, cough and pulling on his left ear. He is afebrile in your office, playful and interactive. When you examine his ear, the tympanic membranes are slightly erythematous, but he is uncooperative for pneumatic otoscopy. Your diagnosis is? Diagnosis of Acute Otitis Media  Must use stringent criteria ‾ Ensure appropriate treatment ‾ Avoid overuse of antibiotics  Three required elements to make the diagnosis ‾ Acute onset of symptoms of otalgia ‾ Presence of a middle ear effusion ‾ Acute signs of middle ear inflammation Symptoms of Acute Otitis Media  Onset within 48 hours  “Severe” symptoms Moderate to severe pain Fever >39oC (102.2oF) Non-verbal child (<6 months old)  Holding, tugging, or rubbing of ear  Poor eating, irritability Diagnosis of Middle Ear Effusion  Decreased or absent mobility of TM ‾ Do not diagnose without demonstrating MEE ‾ Pneumatic otoscopy – standard of care ‾ Better sensitivity and specificity than tympanometry and Weber Test ‾ Tympanometry Diagnosis of Middle Ear Inflammation • Bulging and fullness of the TM • Bullae on the TM • Acute purulent otorrhea (not from otitis externa) • Marked erythema…BUT… ‾ in the absence of bulging or immobility: only 15% PPV for AOM ‾ can be caused by fever, crying, and URI Otitis Media With Effusion (OME)  Signs of middle ear fluid ‾ Impaired TM mobility ‾ Air fluid levels ‾ Bubbles ‾ Amber or blue color  Absence of signs of acute inflammation  Symptoms- slower onset, less severe, no fever Acute Otitis Media OtitisMedia with Effusion TM position Bulging Retractedor Neutral TMcolor Red or Yellow Amberor Blue Signs/Symptoms Pus, Otorrhea, orBullae Airfluid levels or Bubbles (c) B. Welleschik Tympanometry  Quantifies pneumatic otoscopy  Use if otoscopy indeterminant or OME uncertain  Not for kids <7mo (canals too compliant)  Measures: ‾ Ear canal volume (cm3) ‾ Compliance (cm3) ‾ Pressures Type A curve Type B curve-abnormal Type C curve ‾ Normal compliance ‾ Decreased compliance Less helpful and pressures ‾ MEE low Sensitivity ‾ Stiff TM from low specificity • Scarring ‾ Negative pressures • Tympanosclerosis ‾ Retracted TM • Cholesteatoma ‾ Eustachian tube • Tumor dysfunction","URI, acute otitis media uncertain",Otitis media with effusion,Acute otitis media,Ramsay Hunt syndrome,Meniere's Disease Diagnosis,0.214
35,35-SLIDES_common-ent-problems.pdf,2,8,"A 22-month-old male patient is brought to you crying and in obvious acute distress from right ear pain. He has a fever of 103.6 and on exam has an immobile, bulging, erythematous right TM. The best treatment option would be? antibiotics if no improvement Treatment of AOM  Helpful: Pain control ‾ ibuprofen or acetaminophen  Not Helpful: Decongestants/Antihistamines ‾ No improvement in AOM sx in RCTs ‾ Increased side effects ‾ May relieve nasal congestion in older children Treatment of AOM  Three bacterial pathogens ‾ S. pneumoniae ‾ H. influenzae ‾ M. catarrhalis  Antibiotics or Observation? ‾ First studies out of Europe ‾ Concerns about over usage of antibiotics ‾ Several meta-analyses suggest most children do well without ATBs  61% resolve symptoms within 1 day, 80% by 3 days Treatment of AOM AAP/AAFP Guideline Age < 6 months 6-23 months >/= 24 months Observation N/A Unilateral Symptoms NOT severe AND Symptoms NOT severe Antibiotics Forall Bilateral Symptoms ARE Severe OR mod/ severe pain Symptoms are severe T ≥102.2 Observation of AOM  Observation if symptoms worsen or persist  Based on shared decision-making with parents  Only appropriate if can follow-up in 48-72 hours  Reexamination  Phone call  Prescription can be filled (post-dated) *AAFP: observation for 48-72 hrs for low-risk kids- SOR B Little P, Moore M, Kelly J, et al. Delayed antibiotic prescribing strategies for respiratory tract infections in primary care: pragmatic, randomisedcontrolled trial.BMJ. 2014;348:g1606. Am Fam Physician.2019;100(6):350-356 Age < 6 mo: ABX Age 6-23 mo: ABX if severe or bilateral Age 24+ mo: ABX only if severe",Do not use antibiotics because this is probably a viral illness,Have the parents observe for 48 hours and treat with,Treat with antihistamines/decongestants alone,Start antibiotics immediately,Tinnitus Management,0.286
35,35-SLIDES_common-ent-problems.pdf,3,11,"You diagnose AOM with severe symptoms in a 22-month-old male patient who weighs 20 kg (44 lb). What is the most appropriate treatment? Antibiotics for AOM AAP/AAFP Guideline  Amoxicillin 80-90 mg/kg per day (divided Q12 hrs)  Amoxicillin-Clavulanate for those: ‾ Treated with ATBs in last 30 days ‾ With concurrent conjunctivitis (H. influenzae) ‾ Taking prophylactic amoxicillin for recurrent AOM ‾ no longer recommended Antibiotics for AOM AAP/AAFP Guidelines  Penicillin allergy –  No urticaria or anaphylaxis (Non-type 1)  Cephalosporins okay  7-18% cross-reactivity 90% with reported PCN allergy normal allergy testing Antibiotics for AOM AAP/AAFP Guidelines  Penicillin allergy w/ urticaria or anaphylaxis (Type 1) ‾ Macrolides Erythromycin + sulfisoxazole Azithromycin, clarithromycin ‾ Clindamycin  Not recommended due to resistance ‾ Trimethoprim-sulfamethoxazole ‾ Levofloxacin Antibiotics for AOM  Duration of treatment  10-day course of antibiotics ‾ Reduced course duration: ‾ Less favorable outcomes ‾ No lower adverse effects ‾ No difference in emergence of drug resistance",Amoxicillin 900 mg/day,Amoxicillin 1800 mg/day,Amoxicillin-Clavulanate 900 mg/day,Amoxicillin-Clavulanate 1800 mg/day,Group A Streptococcal Pharyngitis,0.25
35,35-SLIDES_common-ent-problems.pdf,4,14,"You treated a child with AOM with antibiotics and see him back 4 weeks later. The child is asymptomatic, but you determine he has a middle ear effusion. Your recommendation would be? E. ENT referral to consider myringotomy tubes Follow-up for AOM  Monitor middle ear effusion (MEE)  Does not mean treatment failure ‾ 70% had MEE after two weeks ‾ 40% after one month ‾ 20% after two months ‾ 10% after three months  Follow-up recommended at 8-12 weeks  Monitor for hearing, language, and learning problems Persistent AOM  No improvement in 48-72 hours  Reassess to confirm diagnosis  Switch to second-line antibiotic – assume penicillin resistant S. pneumoniae  Amoxicillin/Clavulanate Cephalosporin Macrolide Clindamycin Recurrent AOM  Antibiotic prophylaxis ₋ Specifically NOT recommended ₋ 2013 AAP/AAFP Guidelines  Vaccines- pneumococcal, flu  Minimize risk factors ₋ Exposure to cigarette smoke ₋ Pacifier, bottle feeding ₋ Daycare attendance Treatment of Otitis Media With Effusion  Watchful waiting for three months  Test for hearing loss at three months  ?Tubes- now controversial for OME: Reproduced with permission from  AAFP POEMs 2018-16 RCTs no hearing benefit at 12-24 months Otolaryngology Houston www.ghorayeb.com  Tympanostomy tubes is preferred procedure <4 years http://www.houstonoto.com/Otitis  Tympanostomy tubes, adenoidectomy or both >4 years MediaPEtube.html  (still consider for recurrent AOM-3 in 6 moor 4 in last yr w/ 1 in last 6mo)  Do NOT use antibiotics, antihistamines, decongestants or steroids (oral or nasal) OtolaryngolHead Neck Surg. February 2016;154(suppl1):S1–S41.Am Fam Physician.2016Nov1;94(9):747-749. SORT A/B Tinnitus • Perception of noise in the absence of an acoustic stimulus • Most commonly idiopathic, then sensorineural hearing loss • Other causes: cerumen impaction, effusion, cholesteatoma, HTN, TMJ, vascular, neoplastic, neurologic, meds • Meds: NSAIDs, antimicrobials, anti-neoplastics, loop diuretics, others. All work up other than history and physical is SORT C Hearing loss or vertigo: eval for Meniere’s Disease with audiometry, electronystagmography-vestibular eval Pulsatile: neurovascular imaging (MRA) Unilateral: eval for vestibular schwannoma with audiometry, MRI w/ & w/o contrast CBT referral for chronic, bothersome primary tinnitus- SOR B Tinnitus: Diagnosis and Management. Dalrymple, S, et al.Am Fam Physician.2021;103(11):663-671. Sudden Sensorineural Hearing Loss • 30dB loss at 3 consecutive frequencies with normal exam otherwise • Idiopathic 85-90% • Treatment • Hyperbaric oxygen therapy NNT 5.3 to improve likelihood of normal or only slight hearing impairment • Oral corticosteroids 1mg/kg/d-max of 60mg x 10-14 d Equivocal benefit but low risk, most benefit if started right away (first 2 wksof sx) • No benefit for: antivirals, vasodilators (calcium channel blockers), anti-platelets, or antibiotics (unless evidence of AOM on exam) • If sxpersist after steroids, consider MRI of auditory canal, Lyme titers, FTA, TSH, FLP, ESR OtolaryngolHead Neck Surg 2012;146(3 Suppl):S1-S35. WWW.ncbi.nlm.nih.gov: Murphy-Lavoie HM, MutluogluM. Hyperbaric Treatment Of Sensorineural Hearing Loss Sept 2021.",Reassurance and reevaluate in 2 months,Oral antihistamine for 30 days,Re-treat with amoxicillin-clavulanate,Nasal steroid for 30 days,Allergic Rhinitis Management,0.625
