Subcategory,PrimaryCategory,BlueprintCategory,Total_Questions_6yr,Avg_Per_Exam,Trend,Trend_Slope,Yield_Score,Top_QuestionTypes,Key_ClinicalFocuses,Tier_orig,Yield_Score_v2,Tier_v2,Tier_change
Abnormal Uterine Bleeding,Reproductive:Female,Acute Care and Diagnosis,3,0.5,Rising ðŸ“ˆ,0.143,0.93,"Diagnosis, Management",Evaluating abnormal uterine bleeding in premenopausal women | Acute heavy menstrual bleeding treatment | Workup of heavy menstrual bleeding in adolescent,Tier 2,0.93,Tier 2,
Orthostatic Hypotension,Cardiovascular,Chronic Care Management,3,0.5,Rising ðŸ“ˆ,0.143,0.93,"Pharmacology, Diagnosis",First-line pharmacologic treatment for orthostatic hypotension | Diagnostic criteria for orthostatic hypotension | First-line pharmacotherapy for neurogenic orthostatic hypotension,Tier 2,0.93,Tier 2,
Food Allergy Prevention,Population-Based Care,Preventive Care,3,0.5,Rising ðŸ“ˆ,0.143,0.93,Counseling,Early peanut introduction reduces allergy risk | Early allergen introduction for allergy prevention | Early allergen introduction reduces food allergy risk,Tier 2,0.93,Tier 2,
Hematuria Evaluation,Nephrologic,Acute Care and Diagnosis,3,0.5,Rising ðŸ“ˆ,0.143,0.93,Diagnosis,Workup of asymptomatic microscopic hematuria | Workup of gross hematuria with malignancy risk | Workup of painless hematuria in older adults,Tier 2,0.93,Tier 2,
Vitamin B12 Deficiency,Endocrine,Chronic Care Management,3,0.5,Rising ðŸ“ˆ,0.143,0.93,"Diagnosis, Pathophysiology",Recognizing B12 deficiency presenting as glossitis | B12 deficiency etiology post-ileocolectomy | B12 deficiency after bariatric surgery,Tier 2,0.93,Tier 2,
Smoking Cessation Counseling,Cardiovascular,Preventive Care,3,0.5,Rising ðŸ“ˆ,0.143,0.93,Counseling,Motivational interviewing for tobacco cessation | Behavioral interventions for smoking cessation | Motivational interviewing for behavior change,Tier 2,0.93,Tier 2,
Acute Coronary Syndrome,Cardiovascular,Emergent and Urgent Care,3,0.5,Rising ðŸ“ˆ,0.143,0.93,"Management, Diagnosis",EKG changes with exertional chest pain | Acute MI presentation and recognition | EKG findings indicating acute MI in chest pain,Tier 2,0.93,Tier 2,
Acute Pancreatitis Management,Gastrointestinal,Emergent and Urgent Care,2,0.3,Rising ðŸ“ˆ,0.171,0.85,Management,Timing of cholecystectomy in gallstone pancreatitis | Dietary management in acute pancreatitis recovery,Tier 2,0.85,Tier 2,
Chronic Urticaria Management,Hematologic/Immune,Chronic Care Management,2,0.3,Rising ðŸ“ˆ,0.171,0.85,Management,First-line treatment chronic urticaria | Second-generation antihistamine dosing escalation,Tier 2,0.85,Tier 2,
Heart Failure Management,Cardiovascular,Chronic Care Management,2,0.3,Rising ðŸ“ˆ,0.171,0.85,"Pharmacology, Management",SGLT2 inhibitors reducing HF hospitalizations | Medication optimization in improved heart failure,Tier 2,0.85,Tier 2,
Hypothermia Management,Hematologic/Immune,Emergent and Urgent Care,2,0.3,Rising ðŸ“ˆ,0.171,0.85,Management,Fluid selection in severe hypothermia | Severe hypothermia rewarming technique,Tier 2,0.85,Tier 2,
Dental Caries Prevention,Reproductive:Female,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.171,0.85,"Management, Counseling",Fluoride varnish timing in pediatric caries prevention | Fluoride supplementation and toothpaste in infants,Tier 2,0.85,Tier 2,
Hepatitis C Screening,Gastrointestinal,Preventive Care,4,0.7,Stable âž¡ï¸,0.057,0.84,"Screening, Diagnosis",USPSTF hepatitis C screening recommendations | Confirming active HCV infection with molecular testing | Interpreting hepatitis C serology results,Tier 2,0.84,Tier 2,
Abdominal Aortic Aneurysm,Cardiovascular,Chronic Care Management,3,0.5,Stable âž¡ï¸,0.086,0.76,"Management, Diagnosis",AAA rupture risk stratification | AAA surveillance and follow-up intervals | AAA risk factors and recognition,Tier 2,0.76,Tier 2,
Fall Prevention in Older Adults,Cardiovascular,Preventive Care,3,0.5,Stable âž¡ï¸,0.086,0.76,"Management, Counseling",Evidence-based fall prevention interventions | Exercise for fall risk reduction in elderly | Evidence-based fall prevention strategies elderly,Tier 2,0.76,Tier 2,
Fibromyalgia Management,Musculoskeletal,Chronic Care Management,3,0.5,Stable âž¡ï¸,0.086,0.76,"Pharmacology, Management",First-line fibromyalgia treatment efficacy | First-line pharmacotherapy for fibromyalgia | FDA-approved medications for fibromyalgia pain,Tier 2,0.76,Tier 2,
Obstructive Sleep Apnea,Respiratory,Chronic Care Management,3,0.5,Stable âž¡ï¸,0.086,0.76,"Diagnosis, Management",Recognition of OSA cardinal symptom | First-line treatment for mild OSA | Diagnostic confirmation of sleep apnea,Tier 2,0.76,Tier 2,
Community-Acquired Pneumonia,Respiratory,Acute Care and Diagnosis,5,0.8,Stable âž¡ï¸,-0.029,0.75,Management,CAP severity assessment and site-of-care decision | Antibiotic selection for CAP in elderly | Empiric antibiotic selection for CAP,Tier 2,0.75,Tier 2,
Kawasaki Disease,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Diagnosis,Kawasaki disease cardiac complication screening | Kawasaki disease complications recognition,Tier 2,0.68,Tier 2,
Preeclampsia Prevention,Hematologic/Immune,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Management,Low-dose aspirin for preeclampsia prevention | Aspirin prophylaxis for preeclampsia risk,Tier 2,0.68,Tier 2,
Postinflammatory Hyperpigmentation,Integumentary,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,"Diagnosis, Pharmacology",Complication risk from insect bite inflammation | Topical treatment for hyperpigmentation in darker skin,Tier 2,0.68,Tier 2,
Obsessive-Compulsive Disorder,Psychogenic,Chronic Care Management,2,0.3,Rising ðŸ“ˆ,0.114,0.68,"Management, Pharmacology",First-line pharmacotherapy for OCD,Tier 2,0.68,Tier 2,
Perioperative Anticoagulation Management,Cardiovascular,Chronic Care Management,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Management,DOAC management in preoperative setting | Perioperative anticoagulation in high-risk AF,Tier 2,0.68,Tier 2,
CKD-Mineral Bone Disorder,Nephrologic,Chronic Care Management,2,0.3,Rising ðŸ“ˆ,0.114,0.68,"Management, Pathophysiology",Laboratory monitoring in CKD-MBD | CKD-MBD laboratory findings and pathophysiology,Tier 2,0.68,Tier 2,
Cervical Myelopathy,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Diagnosis,Spinal cord compression clinical presentation | Clinical recognition of cervical myelopathy signs,Tier 2,0.68,Tier 2,
Colorectal Cancer Screening,Gastrointestinal,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Screening,Negative stool DNA test follow-up interval | Surveillance intervals after adenoma removal,Tier 2,0.68,Tier 2,
Venous Thromboembolism Management,Cardiovascular,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Management,Unprovoked DVT anticoagulation duration | Anticoagulation duration for provoked DVT,Tier 2,0.68,Tier 2,
Type 2 Diabetes Diagnosis,Endocrine,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Diagnosis,HbA1c threshold for diabetes diagnosis | Diagnostic criteria for diabetes mellitus,Tier 2,0.68,Tier 2,
Type 2 Diabetes Screening,Endocrine,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Screening,USPSTF diabetes screening guidelines by age and BMI | USPSTF screening recommendations for adolescent diabetes,Tier 2,0.68,Tier 2,
Cancer Screening,Cardiovascular,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Screening,Colorectal cancer screening in transgender patients | USPSTF colorectal cancer screening guidelines,Tier 2,0.68,Tier 2,
Complex Regional Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Diagnosis,CRPS diagnosis clinical criteria | Post-fracture CRPS recognition and features,Tier 2,0.68,Tier 2,
Bipolar I Disorder Diagnosis,Psychogenic,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.114,0.68,Diagnosis,DSM-5 diagnostic criteria for bipolar I disorder | Distinguishing bipolar I from other mood disorders,Tier 2,0.68,Tier 2,
Prostate Cancer Screening,Patient-Based Systems,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.114,0.68,"Screening, Management",Shared decision-making for prostate cancer screening | Elevated PSA follow-up management,Tier 2,0.68,Tier 2,
Hidradenitis Suppurativa,Integumentary,Chronic Care Management,4,0.7,Stable âž¡ï¸,0.0,0.67,"Diagnosis, Management",Diagnosing hidradenitis suppurativa presentation | Recognizing hidradenitis suppurativa associations | First-line treatment for mild hidradenitis suppurativa,Tier 2,0.67,Tier 2,
Anorexia Nervosa Complications,Psychogenic,Chronic Care Management,3,0.5,Stable âž¡ï¸,0.029,0.59,"Pathophysiology, Management",Hypothalamic-pituitary axis effects in anorexia | BMD recovery markers in eating disorders | Inpatient admission criteria in eating disorders,Tier 2,0.59,Tier 2,
HIV Screening,Population-Based Care,Preventive Care,3,0.5,Stable âž¡ï¸,0.029,0.59,Screening,HIV screening in sexually active adults | HIV screening recommendations in primary care | USPSTF HIV screening recommendations young adults,Tier 2,0.59,Tier 2,
Cardiovascular Disease Prevention,Cardiovascular,Preventive Care,3,0.5,Stable âž¡ï¸,0.029,0.59,"Counseling, Screening",Evidence-based dietary approach for primary CVD prevention | Primary prevention CVD in intermediate-risk patients | Exercise recommendations for cardiovascular risk reduction,Tier 2,0.59,Tier 2,
Alcohol Use Disorder Treatment,Psychogenic,Chronic Care Management,3,0.5,Stable âž¡ï¸,0.029,0.59,Pharmacology,Pharmacotherapy for reducing alcohol consumption | Medication for alcohol relapse prevention | Medication selection for alcohol abstinence maintenance,Tier 2,0.59,Tier 2,
Anaphylaxis Management,Hematologic/Immune,Emergent and Urgent Care,4,0.7,Stable âž¡ï¸,-0.057,0.5,Management,Epinephrine administration site in anaphylaxis | First-line treatment for anaphylaxis | Anaphylaxis treatment route selection,Tier 2,0.65,Tier 2,
Adolescent Depression Screening,Population-Based Care,Preventive Care,2,0.3,Stable âž¡ï¸,0.057,0.5,Screening,USPSTF depression screening recommendations adolescent | USPSTF recommended screening in adolescents,Tier 2,0.5,Tier 2,
Peripheral Arterial Disease,Cardiovascular,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.057,0.5,Management,Antiplatelet therapy in PAD management | Initial treatment of claudication,Tier 2,0.5,Tier 2,
Recurrent Nephrolithiasis Prevention,Nephrologic,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.057,0.5,Management,Secondary prevention of calcium oxalate stones | Pharmacologic prevention of recurrent calcium stones,Tier 2,0.5,Tier 2,
Tinnitus Management,Neurologic,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.057,0.5,Management,Evidence-based tinnitus treatment and quality of life | Evidence-based tinnitus quality of life treatment,Tier 2,0.5,Tier 2,
Trigeminal Neuralgia,Integumentary,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.057,0.5,"Management, Diagnosis",First-line pharmacologic treatment of trigeminal neuralgia | Cranial nerve identification in trigeminal neuralgia,Tier 2,0.5,Tier 2,
Group A Streptococcal Pharyngitis,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.057,0.5,"Management, Pharmacology",Recurrent GAS pharyngitis after treatment | Antibiotic efficacy in streptococcal pharyngitis,Tier 2,0.5,Tier 2,
Greater Trochanteric Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.057,0.5,Diagnosis,Clinical diagnosis of hip pain with gait abnormality | Differential diagnosis of lateral hip pain,Tier 2,0.5,Tier 2,
Cyclical Mastalgia Management,Reproductive:Female,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.057,0.5,Management,Cyclical breast pain treatment preserving fertility | First-line treatment for cyclical breast pain,Tier 2,0.5,Tier 2,
Multiple Myeloma Diagnosis,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.057,0.5,Diagnosis,Multiple myeloma presentation and diagnosis | Confirming multiple myeloma with light chains,Tier 2,0.5,Tier 2,
Ankle Sprain Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.057,0.5,"Pharmacology, Management",Optimal pain management for ankle sprain | Lateral ankle sprain treatment approach,Tier 2,0.5,Tier 2,
Bariatric Surgery and Obesity,Endocrine,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.057,0.5,"Counseling, Management",Post-bariatric surgery outcomes and recommendations | Bariatric surgery efficacy in diabetes treatment,Tier 2,0.5,Tier 2,
Meniere's Disease Diagnosis,Neurologic,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.057,0.5,Diagnosis,Differentiating vertigo etiologies by clinical presentation | Diagnostic workup of episodic vertigo with audiovestibular symptoms,Tier 2,0.5,Tier 2,
Type 2 Diabetes Management,Endocrine,Chronic Care Management,8,1.3,Falling ðŸ“‰,-0.286,0.48,"Pharmacology, Management",Non-pharmacologic diabetes control optimization | Antidiabetic agent selection in hypoglycemia-prone patient | De-escalation of insulin in well-controlled diabetes,Standard,0.65,Tier 2,*** Standard -> Tier 2
Insomnia Management,Psychogenic,Chronic Care Management,3,0.5,Stable âž¡ï¸,-0.029,0.41,"Management, Pharmacology",Sleep restriction therapy for insomnia | First-line therapy for chronic insomnia | Non-habit forming medication for sleep maintenance insomnia,Standard,0.41,Standard,
Stress Fracture Diagnosis,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.0,0.33,Diagnosis,Initial imaging for suspected tibial stress fracture | Imaging modality for stress fracture diagnosis,Standard,0.33,Standard,
Stroke Prevention and Secondary Prevention,Cardiovascular,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.0,0.33,Management,Antithrombotic therapy after ischemic stroke | Secondary stroke prevention with statin therapy,Standard,0.33,Standard,
Systemic Lupus Erythematosus,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.0,0.33,Diagnosis,ANA testing for SLE diagnosis and screening | SLE diagnosis using clinical and serologic findings,Standard,0.33,Standard,
Distal Phalanx Fracture Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.0,0.33,Management,Conservative treatment of uncomplicated distal phalanx fracture | Treatment of simple distal phalanx fracture,Standard,0.33,Standard,
Child Abuse Recognition,Population-Based Care,Emergent and Urgent Care,2,0.3,Stable âž¡ï¸,0.0,0.33,Diagnosis,Identifying concerning bruising patterns in infants | Identifying suspicious bruising patterns in child abuse,Standard,0.33,Standard,
COPD Diagnosis,Respiratory,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.0,0.33,Diagnosis,COPD diagnosis using pulmonary function tests | COPD diagnosis via spirometry interpretation,Standard,0.33,Standard,
Onychomycosis Treatment,Integumentary,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.0,0.33,"Management, Pharmacology",Optimal antifungal therapy for onychomycosis | Oral antifungal choice for toenail fungal infection,Standard,0.33,Standard,
Pertussis Diagnosis,Respiratory,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.0,0.33,Diagnosis,Recognizing pertussis in unvaccinated adult | Diagnostic test selection for pertussis,Standard,0.33,Standard,
Plantar Fasciitis Management,Musculoskeletal,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.0,0.33,Management,First-line treatment for plantar fasciitis | First-line conservative treatment plantar fasciitis,Standard,0.33,Standard,
Borderline Personality Disorder,Psychogenic,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.0,0.33,"Management, Diagnosis",First-line treatment for borderline personality disorder | Recognizing borderline personality disorder diagnostic criteria,Standard,0.33,Standard,
Anorexia Nervosa Treatment,Psychogenic,Chronic Care Management,2,0.3,Stable âž¡ï¸,0.0,0.33,Management,Psychotherapy selection for adolescent eating disorder | Evidence-based psychotherapy for adolescent anorexia nervosa,Standard,0.33,Standard,
Pelvic Inflammatory Disease,Gastrointestinal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,0.0,0.33,Management,PID treatment initiation criteria | PID diagnosis and empiric management approach,Standard,0.33,Standard,
Cardiovascular Risk Reduction,Cardiovascular,Preventive Care,3,0.5,Stable âž¡ï¸,-0.086,0.24,"Pharmacology, Counseling",Aspirin use in primary prevention | Dietary intervention for MI prevention | Statin therapy for primary prevention of CVD,Standard,0.24,Standard,
Osteoarthritis Management,Musculoskeletal,Chronic Care Management,3,0.5,Stable âž¡ï¸,-0.086,0.24,"Pharmacology, Management",Non-pharmacologic treatment of knee osteoarthritis | First-line NSAID therapy for osteoarthritis | Optimal pain management in osteoarthritis,Standard,0.24,Standard,
Adhesive Capsulitis,Musculoskeletal,Chronic Care Management,3,0.5,Stable âž¡ï¸,-0.086,0.24,Diagnosis,Frozen shoulder diagnosis and differentiation | Screening for diabetes in frozen shoulder | Physical exam findings in adhesive capsulitis,Standard,0.24,Standard,
Serotonin Syndrome,Hematologic/Immune,Emergent and Urgent Care,3,0.5,Stable âž¡ï¸,-0.086,0.24,"Diagnosis, Management",Recognizing serotonin syndrome with drug interaction | Recognition of serotonin syndrome with drug interaction | Recognizing and managing serotonin syndrome,Standard,0.24,Standard,
Primary Ovarian Insufficiency,Reproductive:Female,Acute Care and Diagnosis,3,0.5,Stable âž¡ï¸,-0.086,0.24,"Diagnosis, Management",Elevated gonadotropins with low estradiol | FSH/LH patterns in primary ovarian insufficiency | Hormone replacement therapy in POI,Standard,0.24,Standard,
Syncope Evaluation,Cardiovascular,Acute Care and Diagnosis,3,0.5,Stable âž¡ï¸,-0.086,0.24,Diagnosis,Initial diagnostic workup for syncope | Diagnostic approach to vasovagal syncope,Standard,0.24,Standard,
Acute Ischemic Stroke Management,Cardiovascular,Emergent and Urgent Care,2,0.3,Stable âž¡ï¸,-0.057,0.16,Management,Blood pressure management in acute stroke | Post-thrombolytic window acute stroke treatment,Standard,0.16,Standard,
Scaphoid Fracture Management,Musculoskeletal,Emergent and Urgent Care,2,0.3,Stable âž¡ï¸,-0.057,0.16,Management,Scaphoid fracture treatment approach | Initial immobilization of suspected scaphoid fracture,Standard,0.16,Standard,
Nonalcoholic Fatty Liver Disease,Gastrointestinal,Chronic Care Management,2,0.3,Stable âž¡ï¸,-0.057,0.16,"Management, Pathophysiology",First-line treatment of NAFLD | NAFLD risk factors and etiology,Standard,0.16,Standard,
Knee Injury Assessment,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,-0.057,0.16,Diagnosis,Imaging decision-making in acute knee injury | Ottawa knee rule application for fracture risk,Standard,0.16,Standard,
Distal Radius Fracture Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,-0.057,0.16,Management,Pediatric incomplete radius fracture follow-up | Appropriate immobilization for pediatric wrist fracture,Standard,0.16,Standard,
Breast Cancer Screening,Population-Based Care,Preventive Care,2,0.3,Stable âž¡ï¸,-0.057,0.16,Screening,USPSTF breast cancer screening recommendations | Breast cancer risk assessment and genetic counseling,Standard,0.16,Standard,
Bronchiolitis Management,Respiratory,Emergent and Urgent Care,2,0.3,Stable âž¡ï¸,-0.057,0.16,Management,Supportive care for acute bronchiolitis | Supportive care in infant bronchiolitis,Standard,0.16,Standard,
Hand-Foot-and-Mouth Disease,Integumentary,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,-0.057,0.16,"Diagnosis, Management",Recognizing HFMD clinical presentation | Return to school timing after viral exanthem,Standard,0.16,Standard,
Supraventricular Tachycardia,Cardiovascular,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,-0.057,0.16,"Diagnosis, Management",SVT diagnosis confirmation with event recorder | Acute SVT treatment with adenosine,Standard,0.16,Standard,
Lumbar Spinal Stenosis,Musculoskeletal,Chronic Care Management,2,0.3,Stable âž¡ï¸,-0.057,0.16,"Management, Diagnosis",Conservative management of degenerative spinal stenosis | Clinical presentation of spinal stenosis,Standard,0.16,Standard,
Peroneal Tendinopathy,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable âž¡ï¸,-0.057,0.16,Diagnosis,Lateral heel pain differential diagnosis | Lateral foot pain differential diagnosis,Standard,0.16,Standard,
Pulmonary Embolism Diagnosis,Cardiovascular,Emergent and Urgent Care,4,0.7,Falling ðŸ“‰,-0.171,0.15,Diagnosis,Diagnosing PE with imaging findings | Evaluating elevated D-dimer for PE | PE diagnosis in high-risk hospitalized patient,Standard,0.65,Tier 2,*** Standard -> Tier 2
Hypertension Management,Cardiovascular,Chronic Care Management,8,1.3,Falling ðŸ“‰,-0.4,0.13,"Management, Pharmacology",First-line antihypertensive selection per ACC/AHA guidelines | ACE inhibitor combination therapy for HTN with diabetes | Thiazide diuretic contraindications and adverse effects,Standard,0.65,Tier 2,*** Standard -> Tier 2
Hypertrophic Cardiomyopathy,Cardiovascular,Acute Care and Diagnosis,3,0.5,Falling ðŸ“‰,-0.143,0.07,Diagnosis,HCM murmur response to Valsalva | Physical exam findings in hypertrophic cardiomyopathy | Cardiac murmur characterization and differential diagnosis,Standard,0.07,Standard,
Heart Failure with Reduced Ejection Fraction,Cardiovascular,Chronic Care Management,5,0.8,Falling ðŸ“‰,-0.257,0.06,"Pharmacology, Management",Optimal medical therapy in HFrEF post-PCI | CRT indication in heart failure with LBBB | Mortality reduction in HFrEF,Standard,0.65,Tier 2,*** Standard -> Tier 2
Superior Vena Cava Syndrome,Cardiovascular,Emergent and Urgent Care,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,SVC syndrome management in lymphoma | Urgent management of SVC syndrome from malignancy,Standard,-0.01,Standard,
Acute Asthma Exacerbation,Respiratory,Emergent and Urgent Care,2,0.3,Falling ðŸ“‰,-0.114,-0.01,"Management, Pharmacology",IV magnesium for acute asthma exacerbation | Adjunctive therapy in acute asthma exacerbation,Standard,-0.01,Standard,
Atrial Fibrillation Stroke Prevention,Cardiovascular,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,Stroke prevention in nonvalvular atrial fibrillation | Anticoagulation therapy selection for AF stroke prevention,Standard,-0.01,Standard,
Tumor Lysis Syndrome,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Pathophysiology,Electrolyte disturbances in tumor lysis syndrome | Tumor lysis syndrome complications in lymphoma,Standard,-0.01,Standard,
Primary Hyperparathyroidism,Endocrine,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.114,-0.01,Management,Surgical indications for hyperparathyroidism | Hyperparathyroidism causing nephrolithiasis,Standard,-0.01,Standard,
Post-Traumatic Stress Disorder,Psychogenic,Chronic Care Management,2,0.3,Falling ðŸ“‰,-0.114,-0.01,"Management, Pharmacology",First-line treatment for PTSD | First-line PTSD pharmacotherapy selection,Standard,-0.01,Standard,
