Subcategory,PrimaryCategory,BlueprintCategory,Total_Questions_6yr,Avg_Per_Exam,Trend,Trend_Slope,Yield_Score,Top_QuestionTypes,Key_ClinicalFocuses
Colorectal Cancer Screening,Gastrointestinal,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Screening,Negative stool DNA test follow-up interval | Surveillance intervals after adenoma removal
Venous Thromboembolism Management,Cardiovascular,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Management,Unprovoked DVT anticoagulation duration | Anticoagulation duration for provoked DVT
Type 2 Diabetes Diagnosis,Endocrine,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,HbA1c threshold for diabetes diagnosis | Diagnostic criteria for diabetes mellitus
Type 2 Diabetes Screening,Endocrine,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Screening,USPSTF diabetes screening guidelines by age and BMI | USPSTF screening recommendations for adolescent diabetes
Cancer Screening,Cardiovascular,Preventive Care,2,0.3,Rising 📈,0.114,0.68,Screening,Colorectal cancer screening in transgender patients | USPSTF colorectal cancer screening guidelines
Complex Regional Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,CRPS diagnosis clinical criteria | Post-fracture CRPS recognition and features
Bipolar I Disorder Diagnosis,Psychogenic,Acute Care and Diagnosis,2,0.3,Rising 📈,0.114,0.68,Diagnosis,DSM-5 diagnostic criteria for bipolar I disorder | Distinguishing bipolar I from other mood disorders
Prostate Cancer Screening,Patient-Based Systems,Preventive Care,2,0.3,Rising 📈,0.114,0.68,"Screening, Management",Shared decision-making for prostate cancer screening | Elevated PSA follow-up management
Hidradenitis Suppurativa,Integumentary,Chronic Care Management,4,0.7,Stable ➡️,0.0,0.67,"Diagnosis, Management",Diagnosing hidradenitis suppurativa presentation | Recognizing hidradenitis suppurativa associations | First-line treatment for mild hidradenitis suppurativa
Anorexia Nervosa Complications,Psychogenic,Chronic Care Management,3,0.5,Stable ➡️,0.029,0.59,"Pathophysiology, Management",Hypothalamic-pituitary axis effects in anorexia | BMD recovery markers in eating disorders | Inpatient admission criteria in eating disorders
HIV Screening,Population-Based Care,Preventive Care,3,0.5,Stable ➡️,0.029,0.59,Screening,HIV screening in sexually active adults | HIV screening recommendations in primary care | USPSTF HIV screening recommendations young adults
Cardiovascular Disease Prevention,Cardiovascular,Preventive Care,3,0.5,Stable ➡️,0.029,0.59,"Counseling, Screening",Evidence-based dietary approach for primary CVD prevention | Primary prevention CVD in intermediate-risk patients | Exercise recommendations for cardiovascular risk reduction
Alcohol Use Disorder Treatment,Psychogenic,Chronic Care Management,3,0.5,Stable ➡️,0.029,0.59,Pharmacology,Pharmacotherapy for reducing alcohol consumption | Medication for alcohol relapse prevention | Medication selection for alcohol abstinence maintenance
Adolescent Depression Screening,Population-Based Care,Preventive Care,2,0.3,Stable ➡️,0.057,0.5,Screening,USPSTF depression screening recommendations adolescent | USPSTF recommended screening in adolescents
Anaphylaxis Management,Hematologic/Immune,Emergent and Urgent Care,4,0.7,Stable ➡️,-0.057,0.5,Management,Epinephrine administration site in anaphylaxis | First-line treatment for anaphylaxis | Anaphylaxis treatment route selection
Peripheral Arterial Disease,Cardiovascular,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Antiplatelet therapy in PAD management | Initial treatment of claudication
Recurrent Nephrolithiasis Prevention,Nephrologic,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Secondary prevention of calcium oxalate stones | Pharmacologic prevention of recurrent calcium stones
Tinnitus Management,Neurologic,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Evidence-based tinnitus treatment and quality of life | Evidence-based tinnitus quality of life treatment
Trigeminal Neuralgia,Integumentary,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,"Management, Diagnosis",First-line pharmacologic treatment of trigeminal neuralgia | Cranial nerve identification in trigeminal neuralgia
Group A Streptococcal Pharyngitis,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,"Management, Pharmacology",Recurrent GAS pharyngitis after treatment | Antibiotic efficacy in streptococcal pharyngitis
Greater Trochanteric Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,Diagnosis,Clinical diagnosis of hip pain with gait abnormality | Differential diagnosis of lateral hip pain
Cyclical Mastalgia Management,Reproductive:Female,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,Management,Cyclical breast pain treatment preserving fertility | First-line treatment for cyclical breast pain
Multiple Myeloma Diagnosis,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,Diagnosis,Multiple myeloma presentation and diagnosis | Confirming multiple myeloma with light chains
Ankle Sprain Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,"Pharmacology, Management",Optimal pain management for ankle sprain | Lateral ankle sprain treatment approach
Bariatric Surgery and Obesity,Endocrine,Chronic Care Management,2,0.3,Stable ➡️,0.057,0.5,"Counseling, Management",Post-bariatric surgery outcomes and recommendations | Bariatric surgery efficacy in diabetes treatment
Meniere's Disease Diagnosis,Neurologic,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.057,0.5,Diagnosis,Differentiating vertigo etiologies by clinical presentation | Diagnostic workup of episodic vertigo with audiovestibular symptoms
Type 2 Diabetes Management,Endocrine,Chronic Care Management,8,1.3,Falling 📉,-0.286,0.48,"Pharmacology, Management",Non-pharmacologic diabetes control optimization | Antidiabetic agent selection in hypoglycemia-prone patient | De-escalation of insulin in well-controlled diabetes
Insomnia Management,Psychogenic,Chronic Care Management,3,0.5,Stable ➡️,-0.029,0.41,"Management, Pharmacology",Sleep restriction therapy for insomnia | First-line therapy for chronic insomnia | Non-habit forming medication for sleep maintenance insomnia
Stress Fracture Diagnosis,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.0,0.33,Diagnosis,Initial imaging for suspected tibial stress fracture | Imaging modality for stress fracture diagnosis
Stroke Prevention and Secondary Prevention,Cardiovascular,Chronic Care Management,2,0.3,Stable ➡️,-0.0,0.33,Management,Antithrombotic therapy after ischemic stroke | Secondary stroke prevention with statin therapy
Systemic Lupus Erythematosus,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.0,0.33,Diagnosis,ANA testing for SLE diagnosis and screening | SLE diagnosis using clinical and serologic findings
Distal Phalanx Fracture Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.0,0.33,Management,Conservative treatment of uncomplicated distal phalanx fracture | Treatment of simple distal phalanx fracture
Child Abuse Recognition,Population-Based Care,Emergent and Urgent Care,2,0.3,Stable ➡️,-0.0,0.33,Diagnosis,Identifying concerning bruising patterns in infants | Identifying suspicious bruising patterns in child abuse
COPD Diagnosis,Respiratory,Chronic Care Management,2,0.3,Stable ➡️,-0.0,0.33,Diagnosis,COPD diagnosis using pulmonary function tests | COPD diagnosis via spirometry interpretation
Onychomycosis Treatment,Integumentary,Chronic Care Management,2,0.3,Stable ➡️,-0.0,0.33,"Management, Pharmacology",Optimal antifungal therapy for onychomycosis | Oral antifungal choice for toenail fungal infection
Pertussis Diagnosis,Respiratory,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.0,0.33,Diagnosis,Recognizing pertussis in unvaccinated adult | Diagnostic test selection for pertussis
Plantar Fasciitis Management,Musculoskeletal,Chronic Care Management,2,0.3,Stable ➡️,-0.0,0.33,Management,First-line treatment for plantar fasciitis | First-line conservative treatment plantar fasciitis
Borderline Personality Disorder,Psychogenic,Chronic Care Management,2,0.3,Stable ➡️,-0.0,0.33,"Management, Diagnosis",First-line treatment for borderline personality disorder | Recognizing borderline personality disorder diagnostic criteria
Anorexia Nervosa Treatment,Psychogenic,Chronic Care Management,2,0.3,Stable ➡️,-0.0,0.33,Management,Psychotherapy selection for adolescent eating disorder | Evidence-based psychotherapy for adolescent anorexia nervosa
Pelvic Inflammatory Disease,Gastrointestinal,Acute Care and Diagnosis,2,0.3,Stable ➡️,0.0,0.33,Management,PID treatment initiation criteria | PID diagnosis and empiric management approach
Cardiovascular Risk Reduction,Cardiovascular,Preventive Care,3,0.5,Stable ➡️,-0.086,0.24,"Pharmacology, Counseling",Aspirin use in primary prevention | Dietary intervention for MI prevention | Statin therapy for primary prevention of CVD
Osteoarthritis Management,Musculoskeletal,Chronic Care Management,3,0.5,Stable ➡️,-0.086,0.24,"Pharmacology, Management",Non-pharmacologic treatment of knee osteoarthritis | First-line NSAID therapy for osteoarthritis | Optimal pain management in osteoarthritis
Adhesive Capsulitis,Musculoskeletal,Chronic Care Management,3,0.5,Stable ➡️,-0.086,0.24,Diagnosis,Frozen shoulder diagnosis and differentiation | Screening for diabetes in frozen shoulder | Physical exam findings in adhesive capsulitis
Serotonin Syndrome,Hematologic/Immune,Emergent and Urgent Care,3,0.5,Stable ➡️,-0.086,0.24,"Diagnosis, Management",Recognizing serotonin syndrome with drug interaction | Recognition of serotonin syndrome with drug interaction | Recognizing and managing serotonin syndrome
Primary Ovarian Insufficiency,Reproductive:Female,Acute Care and Diagnosis,3,0.5,Stable ➡️,-0.086,0.24,"Diagnosis, Management",Elevated gonadotropins with low estradiol | FSH/LH patterns in primary ovarian insufficiency | Hormone replacement therapy in POI
Syncope Evaluation,Cardiovascular,Acute Care and Diagnosis,3,0.5,Stable ➡️,-0.086,0.24,Diagnosis,Initial diagnostic workup for syncope | Diagnostic approach to vasovagal syncope
Acute Ischemic Stroke Management,Cardiovascular,Emergent and Urgent Care,2,0.3,Stable ➡️,-0.057,0.16,Management,Blood pressure management in acute stroke | Post-thrombolytic window acute stroke treatment
Scaphoid Fracture Management,Musculoskeletal,Emergent and Urgent Care,2,0.3,Stable ➡️,-0.057,0.16,Management,Scaphoid fracture treatment approach | Initial immobilization of suspected scaphoid fracture
Nonalcoholic Fatty Liver Disease,Gastrointestinal,Chronic Care Management,2,0.3,Stable ➡️,-0.057,0.16,"Management, Pathophysiology",First-line treatment of NAFLD | NAFLD risk factors and etiology
Knee Injury Assessment,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.057,0.16,Diagnosis,Imaging decision-making in acute knee injury | Ottawa knee rule application for fracture risk
Distal Radius Fracture Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.057,0.16,Management,Pediatric incomplete radius fracture follow-up | Appropriate immobilization for pediatric wrist fracture
Breast Cancer Screening,Population-Based Care,Preventive Care,2,0.3,Stable ➡️,-0.057,0.16,Screening,USPSTF breast cancer screening recommendations | Breast cancer risk assessment and genetic counseling
Bronchiolitis Management,Respiratory,Emergent and Urgent Care,2,0.3,Stable ➡️,-0.057,0.16,Management,Supportive care for acute bronchiolitis | Supportive care in infant bronchiolitis
Hand-Foot-and-Mouth Disease,Integumentary,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.057,0.16,"Diagnosis, Management",Recognizing HFMD clinical presentation | Return to school timing after viral exanthem
Supraventricular Tachycardia,Cardiovascular,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.057,0.16,"Diagnosis, Management",SVT diagnosis confirmation with event recorder | Acute SVT treatment with adenosine
Lumbar Spinal Stenosis,Musculoskeletal,Chronic Care Management,2,0.3,Stable ➡️,-0.057,0.16,"Management, Diagnosis",Conservative management of degenerative spinal stenosis | Clinical presentation of spinal stenosis
Peroneal Tendinopathy,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Stable ➡️,-0.057,0.16,Diagnosis,Lateral heel pain differential diagnosis | Lateral foot pain differential diagnosis
Pulmonary Embolism Diagnosis,Cardiovascular,Emergent and Urgent Care,4,0.7,Falling 📉,-0.171,0.15,Diagnosis,Diagnosing PE with imaging findings | Evaluating elevated D-dimer for PE | PE diagnosis in high-risk hospitalized patient
Hypertension Management,Cardiovascular,Chronic Care Management,8,1.3,Falling 📉,-0.4,0.13,"Management, Pharmacology",First-line antihypertensive selection per ACC/AHA guidelines | ACE inhibitor combination therapy for HTN with diabetes | Thiazide diuretic contraindications and adverse effects
Hypertrophic Cardiomyopathy,Cardiovascular,Acute Care and Diagnosis,3,0.5,Falling 📉,-0.143,0.07,Diagnosis,HCM murmur response to Valsalva | Physical exam findings in hypertrophic cardiomyopathy | Cardiac murmur characterization and differential diagnosis
Heart Failure with Reduced Ejection Fraction,Cardiovascular,Chronic Care Management,5,0.8,Falling 📉,-0.257,0.06,"Pharmacology, Management",Optimal medical therapy in HFrEF post-PCI | CRT indication in heart failure with LBBB | Mortality reduction in HFrEF
Superior Vena Cava Syndrome,Cardiovascular,Emergent and Urgent Care,2,0.3,Falling 📉,-0.114,-0.01,Management,SVC syndrome management in lymphoma | Urgent management of SVC syndrome from malignancy
Acute Asthma Exacerbation,Respiratory,Emergent and Urgent Care,2,0.3,Falling 📉,-0.114,-0.01,"Management, Pharmacology",IV magnesium for acute asthma exacerbation | Adjunctive therapy in acute asthma exacerbation
Atrial Fibrillation Stroke Prevention,Cardiovascular,Chronic Care Management,2,0.3,Falling 📉,-0.114,-0.01,Management,Stroke prevention in nonvalvular atrial fibrillation | Anticoagulation therapy selection for AF stroke prevention
Tumor Lysis Syndrome,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,Pathophysiology,Electrolyte disturbances in tumor lysis syndrome | Tumor lysis syndrome complications in lymphoma
Primary Hyperparathyroidism,Endocrine,Chronic Care Management,2,0.3,Falling 📉,-0.114,-0.01,Management,Surgical indications for hyperparathyroidism | Hyperparathyroidism causing nephrolithiasis
Post-Traumatic Stress Disorder,Psychogenic,Chronic Care Management,2,0.3,Falling 📉,-0.114,-0.01,"Management, Pharmacology",First-line treatment for PTSD | First-line PTSD pharmacotherapy selection
Nephrolithiasis Management,Nephrologic,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,Management,Medical therapy to facilitate ureteral stone passage | Small ureteral stone expectant management
Patellofemoral Pain Syndrome,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,"Diagnosis, Management",Anterior knee pain differential diagnosis | Initial conservative treatment of patellofemoral pain
Spirometry Interpretation,Respiratory,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,Interpretation,Obstructive pattern on spirometry | Restrictive lung disease spirometry pattern
Diverticulitis Management,Gastrointestinal,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,Management,Outpatient management of mild diverticulitis | Mild diverticulitis outpatient treatment approach
Gender Dysphoria Management,Hematologic/Immune,Chronic Care Management,2,0.3,Falling 📉,-0.114,-0.01,Management,Initial hormone therapy for transgender men | GnRH agonist initiation timing in transgender youth
Allergic Rhinitis Management,Respiratory,Chronic Care Management,2,0.3,Falling 📉,-0.114,-0.01,Management,First-line therapy for seasonal allergic rhinitis | First-line treatment for seasonal allergic rhinitis
Atrial Fibrillation Anticoagulation,Cardiovascular,Chronic Care Management,2,0.3,Falling 📉,-0.114,-0.01,Management,Warfarin vs DOAC selection in AF | Anticoagulant selection in atrial fibrillation
Alcohol Withdrawal Syndrome,Gastrointestinal,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,"Diagnosis, Pharmacology",Recognizing alcohol withdrawal presentation in elderly | First-line medication for mild alcohol withdrawal
Osgood-Schlatter Disease,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,Diagnosis,Adolescent knee pain with growth spurt | Clinical diagnosis without unnecessary imaging
Croup Management,Respiratory,Emergent and Urgent Care,2,0.3,Falling 📉,-0.114,-0.01,Management,First-line treatment for viral croup | Dexamethasone for croup treatment
Influenza Treatment in Pregnancy,Respiratory,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.114,-0.01,Pharmacology,Antiviral selection for pregnant influenza patient | Antiviral therapy for influenza in pregnancy
Thyroid Nodule Evaluation,Endocrine,Acute Care and Diagnosis,4,0.7,Falling 📉,-0.229,-0.02,Diagnosis,Thyroid nodule workup with normal TSH | Radionuclide uptake scan indication for thyroid nodule | Thyroid nodule workup and risk stratification
Cardiovascular Risk Assessment,Cardiovascular,Preventive Care,3,0.5,Falling 📉,-0.2,-0.1,"Screening, Management",Statin initiation timing in diabetic patients | Appropriate CVD risk screening tests | ACC/AHA ASCVD risk calculation components
Iron Deficiency Anemia,Hematologic/Immune,Acute Care and Diagnosis,3,0.5,Falling 📉,-0.2,-0.1,"Management, Diagnosis",First-line treatment of iron deficiency anemia | Clinical manifestations of iron deficiency anemia | Serum iron markers in iron deficiency anemia
Tuberculosis Screening,Population-Based Care,Preventive Care,3,0.5,Falling 📉,-0.2,-0.1,Screening,TB screening in BCG-vaccinated individuals | TB screening in immigrant children with BCG history | TB screening method selection for asymptomatic individuals
Cardiovascular Risk in Diabetes,Endocrine,Chronic Care Management,2,0.3,Falling 📉,-0.171,-0.18,Management,Statin intensity for diabetic dyslipidemia | Statin therapy for dyslipidemia in pediatric diabetes
Stress Urinary Incontinence,Nephrologic,Chronic Care Management,2,0.3,Falling 📉,-0.171,-0.18,"Diagnosis, Management",Initial diagnostic evaluation of stress incontinence | First-line treatment for stress incontinence
Hordeolum (Stye) Management,Integumentary,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.171,-0.18,Management,Initial conservative treatment of external hordeolum | Initial treatment of external hordeolum
Lyme Disease Diagnosis,Hematologic/Immune,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.171,-0.18,Diagnosis,Recognizing erythema migrans in Lyme disease | Erythema migrans recognition and diagnosis
Influenza Vaccination,Population-Based Care,Preventive Care,4,0.7,Falling 📉,-0.286,-0.19,"Management, Counseling",Egg allergy and influenza vaccine safety | Number needed to treat for vaccine efficacy | Influenza vaccine selection with egg allergy
Sepsis Management,Cardiovascular,Emergent and Urgent Care,3,0.5,Falling 📉,-0.257,-0.27,Management,Initial resuscitation in septic shock | Sepsis recognition and fluid resuscitation | Sepsis fluid resuscitation protocol
Abdominal Aortic Aneurysm Screening,Cardiovascular,Preventive Care,2,0.3,Falling 📉,-0.229,-0.35,Screening,USPSTF AAA screening recommendations in older men | AAA screening recommendations by age and smoking history
Conduct Disorder,Psychogenic,Acute Care and Diagnosis,2,0.3,Falling 📉,-0.229,-0.35,"Management, Diagnosis",Initial management of conduct disorder in adolescents | Adolescent behavioral disorder recognition criteria
Breast Cancer Surveillance,Population-Based Care,Preventive Care,2,0.3,Falling 📉,-0.229,-0.35,"Screening, Management",Post-treatment breast cancer surveillance strategies | Post-lumpectomy breast cancer surveillance protocols
