
=== Run started 2026-02-24 08:57:22.860824 ===
[OK] Q2020-001 | Chronic Care Management | Hypertension Management | Pharmacology | conf=High
[OK] Q2020-131 | Acute Care and Diagnosis | Systemic Lupus Erythematosus Diagnosis | Diagnosis | conf=High
[OK] Q2020-132 | Chronic Care Management | Carpal Tunnel Syndrome | Pathophysiology | conf=High
[OK] Q2020-133 | Chronic Care Management | Dual Substance Use Disorders | Pharmacology | conf=High
[OK] Q2020-134 | Emergent and Urgent Care | Heat Cramps and Heat-Related Illness | Management | conf=High
[OK] Q2020-135 | Preventive Care | Infective Endocarditis Prophylaxis | Management | conf=High
[OK] Q2020-136 | Chronic Care Management | Trigger Finger Management | Management | conf=High
[OK] Q2020-137 | Emergent and Urgent Care | Respiratory Infection Management | Management | conf=High
[OK] Q2020-138 | Acute Care and Diagnosis | Addison's Disease Diagnosis | Diagnosis | conf=High
[OK] Q2020-139 | Acute Care and Diagnosis | Dermatologic Diagnosis | Diagnosis | conf=High
[OK] Q2020-140 | Acute Care and Diagnosis | Hepatitis C Diagnosis | Diagnosis | conf=High
[OK] Q2020-141 | Foundations of Care | Medical Ethics and Decision-Making | Counseling | conf=High
[OK] Q2020-142 | Chronic Care Management | Dumping Syndrome Post-Bariatric Surgery | Management | conf=High
[OK] Q2020-143 | Chronic Care Management | Meniscal Tear Management | Management | conf=High
[OK] Q2020-144 | Preventive Care | Sleep Apnea Screening | Screening | conf=High
[OK] Q2020-145 | Chronic Care Management | Conduct Disorder | Management | conf=High
[OK] Q2020-146 | Chronic Care Management | Iron Deficiency Anemia | Management | conf=High
[OK] Q2020-147 | Chronic Care Management | Warfarin Drug Interactions | Pharmacology | conf=High
[OK] Q2020-148 | Preventive Care | Pediatric Dental Health | Counseling | conf=High
[OK] Q2020-149 | Acute Care and Diagnosis | Tinea Versicolor Treatment | Management | conf=High
[OK] Q2020-150 | Foundations of Care | Achalasia Pathophysiology | Pathophysiology | conf=High
[OK] Q2020-151 | Acute Care and Diagnosis | Plantar Fasciitis | Diagnosis | conf=High
[OK] Q2020-152 | Chronic Care Management | Medication Safety in Older Adults | Pharmacology | conf=High
[OK] Q2020-153 | Preventive Care | Pediatric Vision Screening | Screening | conf=High
[OK] Q2020-154 | Chronic Care Management | Hormone Replacement Therapy | Counseling | conf=High
[OK] Q2020-155 | Preventive Care | Cardiac Risk Screening | Screening | conf=High
[OK] Q2020-156 | Preventive Care | Influenza Prophylaxis in Pregnancy | Pharmacology | conf=High
[OK] Q2020-157 | Emergent and Urgent Care | Thyroid Storm | Management | conf=High
[OK] Q2020-158 | Emergent and Urgent Care | Concussion and Head Injury | Diagnosis | conf=High
[OK] Q2020-159 | Acute Care and Diagnosis | Clostridioides difficile Colitis Recurrence | Management | conf=High
[OK] Q2020-160 | Chronic Care Management | Posttraumatic Stress Disorder | Management | conf=High
[OK] Q2020-161 | Acute Care and Diagnosis | Fifth Metatarsal Fracture | Management | conf=High
[OK] Q2020-162 | Foundations of Care | Medical Interpreter Use and Communication | Interpretation | conf=High
[OK] Q2020-163 | Emergent and Urgent Care | Sepsis Management | Management | conf=High
[OK] Q2020-164 | Chronic Care Management | Pediatric Hypertension Management | Management | conf=High
[OK] Q2020-165 | Chronic Care Management | Androgenetic Alopecia | Management | conf=High
[OK] Q2020-166 | Acute Care and Diagnosis | Musculoskeletal Chest Pain | Management | conf=High
[OK] Q2020-167 | Acute Care and Diagnosis | Patellofemoral Pain Syndrome | Diagnosis | conf=High
[OK] Q2020-168 | Preventive Care | Cardiovascular Risk Assessment | Management | conf=High
[OK] Q2020-169 | Chronic Care Management | Type 1 Diabetes Management | Management | conf=High
[OK] Q2020-170 | Emergent and Urgent Care | Anaphylaxis Management | Management | conf=High
[OK] Q2020-171 | Chronic Care Management | Peripheral Artery Disease | Pharmacology | conf=High
[OK] Q2020-172 | Acute Care and Diagnosis | Hand-Foot-Mouth Disease | Management | conf=High
[OK] Q2020-173 | Emergent and Urgent Care | Appendicitis Management | Counseling | conf=High
[OK] Q2020-174 | Acute Care and Diagnosis | Lung Disease in IVDU | Diagnosis | conf=High
[OK] Q2020-175 | Acute Care and Diagnosis | Hordeolum (Stye) Management | Management | conf=High
[OK] Q2020-176 | Preventive Care | Smoking Cessation Counseling | Counseling | conf=High
[OK] Q2020-177 | Chronic Care Management | Anemia of Chronic Disease | Diagnosis | conf=High
[OK] Q2020-178 | Emergent and Urgent Care | Nursemaid's Elbow Reduction | Management | conf=High
[OK] Q2020-179 | Emergent and Urgent Care | Bronchiolitis Management | Management | conf=High
[OK] Q2020-180 | Preventive Care | Intimate Partner Violence Screening | Screening | conf=High
[OK] Q2020-181 | Preventive Care | Cardiovascular Disease Prevention | Counseling | conf=High
[OK] Q2020-182 | Acute Care and Diagnosis | Diverticulitis Management | Management | conf=High
[OK] Q2020-183 | Acute Care and Diagnosis | Syncope Evaluation | Diagnosis | conf=High
[OK] Q2020-184 | Chronic Care Management | Medication Side Effects and Adverse Effects | Pharmacology | conf=High
[OK] Q2020-185 | Acute Care and Diagnosis | Ovarian Cyst Management | Management | conf=High
[OK] Q2020-186 | Acute Care and Diagnosis | Biceps Tendinitis Diagnosis | Diagnosis | conf=High
[OK] Q2020-187 | Chronic Care Management | Chronic Refractory Cough | Management | conf=High
[OK] Q2020-188 | Acute Care and Diagnosis | Supraventricular Tachycardia | Diagnosis | conf=High
[OK] Q2020-189 | Acute Care and Diagnosis | Episcleritis | Diagnosis | conf=High
[OK] Q2020-190 | Emergent and Urgent Care | Febrile Seizure Evaluation | Diagnosis | conf=High
[OK] Q2020-191 | Preventive Care | Child Developmental Milestones | Screening | conf=High
[OK] Q2020-192 | Emergent and Urgent Care | Clenched Fist Bite Wound | Management | conf=High
[OK] Q2020-193 | Acute Care and Diagnosis | Temporomandibular Disorder | Diagnosis | conf=High
[OK] Q2020-194 | Acute Care and Diagnosis | Cough Management in Children | Management | conf=High
[OK] Q2020-195 | Acute Care and Diagnosis | Hypertrophic Cardiomyopathy | Diagnosis | conf=High
[OK] Q2020-196 | Preventive Care | Vitamin D Deficiency Screening | Screening | conf=High
[OK] Q2020-197 | Preventive Care | Cancer Screening Guidelines | Screening | conf=High
[OK] Q2020-198 | Acute Care and Diagnosis | Pearly Penile Papules | Diagnosis | conf=High
[OK] Q2020-199 | Preventive Care | Corticosteroid-Induced Osteoporosis Prevention | Management | conf=High
[OK] Q2020-200 | Emergent and Urgent Care | Community-Acquired Pneumonia | Management | conf=High
[OK] Q2021-201 | Preventive Care | Stroke Risk Screening | Screening | conf=High
[OK] Q2021-202 | Chronic Care Management | Allergic Rhinitis Management | Management | conf=High
[OK] Q2021-203 | Acute Care and Diagnosis | Chronic Diarrhea Evaluation | Diagnosis | conf=High
[OK] Q2021-204 | Chronic Care Management | Opioid Use Disorder Treatment | Management | conf=High
[OK] Q2021-205 | Chronic Care Management | Ganglion Cyst Management | Management | conf=High
[OK] Q2021-206 | Chronic Care Management | Type 2 Diabetes Management | Management | conf=High
[OK] Q2021-207 | Preventive Care | Food Allergy Prevention | Counseling | conf=High
[OK] Q2021-208 | Chronic Care Management | Hypertension and Erectile Dysfunction | Pharmacology | conf=High
[OK] Q2021-209 | Chronic Care Management | Malignant Bowel Obstruction | Management | conf=High
[OK] Q2021-210 | Acute Care and Diagnosis | Bullous Impetigo Treatment | Management | conf=High
[OK] Q2021-211 | Chronic Care Management | Hematuria Evaluation | Diagnosis | conf=High
[OK] Q2021-212 | Acute Care and Diagnosis | Premature Rupture of Membranes | Management | conf=High
[OK] Q2021-213 | Chronic Care Management | Statin Therapy and Contraindications | Pharmacology | conf=High
[OK] Q2021-214 | Emergent and Urgent Care | Bacterial Tracheitis | Diagnosis | conf=High
[OK] Q2021-215 | Acute Care and Diagnosis | Shoulder Pain Management | Management | conf=High
[OK] Q2021-216 | Emergent and Urgent Care | Acute Abdominal Pain Diagnosis | Diagnosis | conf=High
[OK] Q2021-217 | Preventive Care | Diabetes Mellitus Diagnosis | Diagnosis | conf=High
[OK] Q2021-218 | Emergent and Urgent Care | Tumor Lysis Syndrome | Pathophysiology | conf=High
[OK] Q2021-219 | Foundations of Care | Evidence-Based Medicine and Statistics | Interpretation | conf=High
[OK] Q2021-220 | Acute Care and Diagnosis | Ulnar Nerve Injury | Diagnosis | conf=High
[OK] Q2021-221 | Chronic Care Management | Hereditary Hemochromatosis | Management | conf=High
[OK] Q2021-222 | Acute Care and Diagnosis | Conduct Disorder | Diagnosis | conf=High
[OK] Q2021-223 | Chronic Care Management | Aortic Stenosis Monitoring | Management | conf=High
[OK] Q2021-224 | Chronic Care Management | Atopic Dermatitis in Infants | Management | conf=High
[OK] Q2021-225 | Acute Care and Diagnosis | Upper Respiratory Infection Management | Management | conf=High
[OK] Q2021-226 | Acute Care and Diagnosis | Celiac Disease Diagnosis | Diagnosis | conf=High
[OK] Q2021-227 | Acute Care and Diagnosis | Distal Phalanx Fracture Management | Management | conf=High
[OK] Q2021-228 | Chronic Care Management | Hypothyroidism Treatment | Management | conf=High
[OK] Q2021-229 | Emergent and Urgent Care | Sepsis Management | Management | conf=High
[OK] Q2021-230 | Emergent and Urgent Care | Heart Failure Exacerbation | Management | conf=High
[OK] Q2021-231 | Chronic Care Management | Upper GI Bleeding Prevention | Pharmacology | conf=High
[OK] Q2021-232 | Chronic Care Management | ACE Inhibitor-Induced Cough | Diagnosis | conf=High
[OK] Q2021-233 | Chronic Care Management | Lumbar Spinal Stenosis | Management | conf=High
[OK] Q2021-234 | Chronic Care Management | Bariatric Surgery Complications | Pathophysiology | conf=High
[OK] Q2021-235 | Preventive Care | Adolescent Substance Abuse Screening | Counseling | conf=High
[OK] Q2021-236 | Chronic Care Management | Sporotrichosis Treatment | Management | conf=High
[OK] Q2021-237 | Chronic Care Management | Diabetic Nephropathy Screening | Interpretation | conf=High
[OK] Q2021-238 | Chronic Care Management | Vitamin B12 Deficiency | Diagnosis | conf=High
[OK] Q2021-239 | Chronic Care Management | Hypertension Management | Management | conf=High
[OK] Q2021-240 | Chronic Care Management | Seasonal Affective Disorder | Management | conf=High
[OK] Q2021-241 | Preventive Care | Lung Cancer Screening | Screening | conf=High
[OK] Q2021-242 | Acute Care and Diagnosis | Peroneal Tendinopathy | Diagnosis | conf=High
[OK] Q2021-243 | Chronic Care Management | Type 2 Diabetes Management | Pharmacology | conf=High
[OK] Q2021-244 | Chronic Care Management | Polypharmacy and Medication Review | Management | conf=High
[OK] Q2021-245 | Preventive Care | Developmental Screening | Diagnosis | conf=High
[OK] Q2021-246 | Preventive Care | Probiotic Use and Evidence | Counseling | conf=High
[OK] Q2021-247 | Preventive Care | Driving Safety and Fitness | Counseling | conf=High
[OK] Q2021-248 | Acute Care and Diagnosis | Subclavian Steal Syndrome | Diagnosis | conf=High
[OK] Q2021-249 | Acute Care and Diagnosis | Viral Bronchiolitis Management | Management | conf=High
[OK] Q2021-250 | Chronic Care Management | Acne Vulgaris | Management | conf=High
[OK] Q2021-251 | Chronic Care Management | Nonspecific Low Back Pain | Management | conf=High
[OK] Q2021-252 | Foundations of Care | Cognitive Impairment Screening | Diagnosis | conf=High
[OK] Q2021-253 | Foundations of Care | Common Variable Immunodeficiency | Diagnosis | conf=High
[OK] Q2021-254 | Chronic Care Management | Nausea and Vomiting in Pregnancy | Pharmacology | conf=High
[OK] Q2021-255 | Preventive Care | Vitamin D Supplementation | Counseling | conf=High
[OK] Q2021-256 | Chronic Care Management | Type 1 Diabetes Management | Counseling | conf=High
[OK] Q2021-257 | Chronic Care Management | Major Depressive Disorder - Pharmacotherapy | Pharmacology | conf=High
[OK] Q2021-258 | Acute Care and Diagnosis | Hip Labral Tear | Diagnosis | conf=High
[OK] Q2021-259 | Foundations of Care | Medical Decision-Making and Capacity | Counseling | conf=High
[OK] Q2021-260 | Chronic Care Management | Obstructive Sleep Apnea | Diagnosis | conf=High
[OK] Q2021-261 | Chronic Care Management | Heart Failure with Reduced Ejection Fraction | Pharmacology | conf=High
[OK] Q2021-262 | Foundations of Care | Chronic Kidney Disease Definition | Diagnosis | conf=High
[OK] Q2021-263 | Chronic Care Management | Diabetic Gastroparesis | Diagnosis | conf=High
[OK] Q2021-264 | Preventive Care | Lead Screening in Children | Screening | conf=High
[OK] Q2021-265 | Acute Care and Diagnosis | Fournier's Gangrene | Pharmacology | conf=High
[OK] Q2021-266 | Acute Care and Diagnosis | Idiopathic Pulmonary Fibrosis | Diagnosis | conf=High
[OK] Q2021-267 | Chronic Care Management | Adhesive Capsulitis | Diagnosis | conf=High
[OK] Q2021-268 | Acute Care and Diagnosis | Foreign Body Removal | Diagnosis | conf=High
[OK] Q2021-269 | Chronic Care Management | Hypertension and Gout | Pharmacology | conf=High
[OK] Q2021-270 | Acute Care and Diagnosis | Restrictive Lung Disease Workup | Diagnosis | conf=High
[OK] Q2021-271 | Acute Care and Diagnosis | Lymphoma Diagnosis | Diagnosis | conf=High
[OK] Q2021-272 | Preventive Care | Complementary and Integrative Medicine | Counseling | conf=High
[OK] Q2021-273 | Chronic Care Management | Opioid Use Disorder Monitoring | Interpretation | conf=High
[OK] Q2021-274 | Acute Care and Diagnosis | Postoperative Fluid Management | Management | conf=High
[OK] Q2021-275 | Chronic Care Management | Osteoarthritis Management | Management | conf=High
[OK] Q2021-276 | Acute Care and Diagnosis | COVID-19 Infection | Pathophysiology | conf=High
[OK] Q2021-277 | Chronic Care Management | Cardiovascular Risk in Diabetes | Management | conf=High
[OK] Q2021-278 | Chronic Care Management | Parkinson Disease Diagnosis | Diagnosis | conf=High
[OK] Q2021-279 | Chronic Care Management | Basal Cell Carcinoma Treatment | Management | conf=High
[OK] Q2021-280 | Preventive Care | Hypertension in Pregnancy | Management | conf=High
[OK] Q2021-281 | Chronic Care Management | Type 2 Diabetes Management | Management | conf=High
[OK] Q2021-282 | Preventive Care | Prosthetic Joint Infection Prophylaxis | Management | conf=High
[OK] Q2021-283 | Emergent and Urgent Care | End-of-Life Symptom Management | Management | conf=High
[OK] Q2021-284 | Chronic Care Management | Asthma Management | Management | conf=High
[OK] Q2021-285 | Chronic Care Management | Post-MI Medication Management | Management | conf=High
[OK] Q2021-286 | Acute Care and Diagnosis | Biliary Colic and Cholecystitis | Diagnosis | conf=High
[OK] Q2021-287 | Preventive Care | Maternal Depression Screening | Screening | conf=High
[OK] Q2021-288 | Chronic Care Management | Uterine Fibroid Management | Management | conf=High
[OK] Q2021-289 | Emergent and Urgent Care | Serotonin Syndrome | Diagnosis | conf=High
[OK] Q2021-290 | Acute Care and Diagnosis | Pediatric Back Pain | Diagnosis | conf=High
[OK] Q2021-291 | Preventive Care | Abdominal Aortic Aneurysm Screening | Screening | conf=High
[OK] Q2021-292 | Chronic Care Management | Delusional Parasitosis | Management | conf=High
[OK] Q2021-293 | Preventive Care | Tuberculosis Screening | Screening | conf=High
[OK] Q2021-294 | Acute Care and Diagnosis | Meniere's Disease Diagnosis | Diagnosis | conf=High
[OK] Q2021-295 | Preventive Care | Child Safety and Injury Prevention | Counseling | conf=High
[OK] Q2021-296 | Preventive Care | Indwelling Catheter Management | Management | conf=High
[OK] Q2021-297 | Emergent and Urgent Care | Burn Classification and Severity | Diagnosis | conf=High
[OK] Q2021-298 | Preventive Care | Adrenal Nodule Workup | Diagnosis | conf=High
[OK] Q2021-299 | Preventive Care | Hypertension Diagnosis | Diagnosis | conf=High
[OK] Q2021-300 | Preventive Care | Vaccination and Immunization | Counseling | conf=High
[OK] Q2021-301 | Acute Care and Diagnosis | Community-Acquired Pneumonia | Management | conf=High
[OK] Q2021-302 | Acute Care and Diagnosis | Distal Radius Fracture Management | Management | conf=High
[OK] Q2021-303 | Acute Care and Diagnosis | Neonatal Hyperbilirubinemia | Management | conf=High
[OK] Q2021-304 | Chronic Care Management | Hypertriglyceridemia Management | Pharmacology | conf=High
[OK] Q2021-305 | Preventive Care | Perinatal Depression Prevention | Management | conf=High
[OK] Q2021-306 | Chronic Care Management | HIV Management and Treatment Initiation | Management | conf=High
[OK] Q2021-307 | Chronic Care Management | Digoxin Toxicity Management | Management | conf=High
[OK] Q2021-308 | Chronic Care Management | COPD Diagnosis | Diagnosis | conf=High
