Question ID,ExamYear,QuestionStem,CorrectAnswer,Explanation
Q2025-017,2025,"A 75-year-old male presents to your office with his family. Although he is a long-term patient of yours, you have not seen him in more than 1 year. His family tells you that they have noticed a gradual progression of neurologic symptoms over the past 6 months, including a noticeably slower gait and a tremor of his right hand. The patient says that he has noticed worsening short-term memory loss. On examination, the patient has a flat affect and speaks slowly. You observe a shuffling gait and a resting pill-rolling tremor of his right hand. You also note cogwheel rigidity of his right arm. Which one of the following would be the most appropriate initial medication for the treatment of this patient's condition? Which one of the following diagnostic tests is most likely to be abnormal in this patient?",,
Q2025-019,2025,An otherwise healthy 52-year-old female with a past surgical history of hysterectomy for the treatment of uterine fibroids presents with increasing episodes of hot flashes lasting 3�5 minutes and occurring 5�10 times per day over the past 5 months. She finds the symptoms highly disruptive and is interested in options for medical therapy. Which one of the following would be the most effective therapy for this patient's symptoms? Which one of the following would be the most appropriate next step?,,
Q2025-021,2025,"A 72-year-old male presents with a 45-minute history of persistent bleeding from his left nostril. He has a medical history of aortic stenosis with a mechanical aortic valve replacement, coronary artery disease, hypertension, and type 2 diabetes. His medications include hydrochlorothiazide, lisinopril (Zestril), metformin, and warfarin. A physical examination reveals a blood pressure of 170/100 mm Hg without orthostatic change and a heart rate of 90 beats/min. Which one of the following would be the most appropriate first step in the treatment of this patient's nosebleed? Aspirin, 81 mg daily Carvedilol (Coreg), 12.5 mg twice daily Empagliflozin (Jardiance), 10 mg daily Losartan (Cozaar), 50 mg daily On examination he has a blood pressure of 140/85 mm Hg, a heart rate of 52 beats/min, and an oxygen saturation of 98% on room air. A cardiopulmonary examination is within normal limits and an EKG is unchanged from past EKGs. Which one of the following changes to this patient�s medication regimen would be most appropriate to decrease his anginal symptoms?",,
Q2025-023,2025,"A 35-year-old female presents because of a 4-week history of difficulty sleeping following the death of her partner of 2 years. She has difficulty initiating and maintaining sleep and reports daytime sleepiness. Her symptoms have not improved despite attending grief counseling sessions. She requests nonpharmacologic treatment for her insomnia. Which one of the following is a component of sleep hygiene education for cognitive behavioral therapy for insomnia? Which one of the following factors, if present, would be an indication for prescribing levothyroxine (Synthroid)?",,
Q2025-025,2025,"A 44-year-old female presents to the emergency department for evaluation of heavy vaginal bleeding. She reports soaking a pad every hour for the past 6 hours and is feeling mildly short of breath and lightheaded. The patient has a past medical history of hypertension, migraines, and breast cancer for which she underwent lumpectomy 6 months ago. The patient's only medication is hydrochlorothiazide, 25 mg. The patient's vital signs include a blood pressure of 110/60 mm Hg, a heart rate of 80 beats/min, a respiratory rate of 16/min, and an oxygen saturation of 100% on room air. A prothrombin time, partial thromboplastin time, and platelet count are all normal, and a urine pregnancy test is negative, but a hemoglobin level is 8.0 g/dL (N 12.0�16.0). Which one of the following would be the most appropriate next step? Which one of the following would be the most appropriate first step in the management of this condition?",,
Q2025-027,2025,"A 67-year-old female presents for a wellness examination. She has not been seen for medical care for several years and reports that her last Papanicolaou test was 15 years ago. She does not recall any medical problems and has no known history of abnormal cervical cytology in the past. According to the U.S. Preventive Services Task Force, which one of the following should you recommend regarding further cervical cancer screening?",,
Q2025-028,2025,"A 46-year-old male comes in for an acute visit for low back pain. During triage, a Patient Health Questionnaire�2 (PHQ-2) screen is positive. You then administer the PHQ-9. You ask, ""Over the last 2 weeks, how often have you been bothered by thoughts that you would be better off dead, or of hurting yourself?"" He responds, ""Nearly every day."" His total PHQ�9 score is 19. Which one of the following would be the most appropriate next step?",,
Q2025-029,2025,A healthy 58-year-old patient presents for an annual health maintenance examination. They had an initial screening colonoscopy 3 years ago in which 2 polyps were removed. The polyps were found to be 6-mm and 8-mm tubular adenomas. The patient does not have a family history of colon cancer. Which one of the following is the most appropriate ongoing colon cancer screening for this patient?,,
Q2025-030,2025,"A 27-year-old gravida 1 para 0 at 38 weeks' estimated gestation based on a first-trimester ultrasound presents for routine prenatal care. Her pregnancy has been uncomplicated. You discuss the potential risks and benefits of inducing labor at 39 weeks compared to expectant management. In this discussion, you should tell the patient that inducing labor at 39 weeks reduces Which one of the following treatments would be most helpful in relieving her symptoms?",,
Q2025-032,2025,"A 65-year-old male is brought to the emergency department by his wife after developing confusion immediately after sexual intercourse. The wife reports that the patient does not remember anything from a few hours prior to the onset of symptoms. He repeatedly asks where he is, how he got here, and what time it is, despite having been given the answers to his questions. He is alert and knows his wife, his name, and his birth date. A neurologic examination is otherwise normal. A CBC and comprehensive metabolic panel are normal, an EKG is normal, and a CT scan of the head is unremarkable. It has now been 2 hours since the onset of his symptoms. Which one of the following would be most appropriate for treatment? Which one of the following would be the most appropriate treatment option for this patient?",,
Q2025-034,2025,A 66-year-old female asks about options for shingles vaccine. She received the live zoster vaccine (Zostavax) previously. She underwent urgent cholecystectomy for acute cholecystitis 2 months ago and developed shingles in a dermatomal distribution soon after hospital discharge. She was given valacyclovir (Valtrex) and gabapentin (Neurontin) for treatment and symptom relief. The rash is gone but she still has mild postherpetic neuralgia. She would like to receive the recombinant zoster vaccine (Shingrix) as soon as it is safe to receive it. Which one of the following would be the earliest this patient can safely receive the first dose of recombinant zoster vaccine? Which one of the following would be the most appropriate next step?,,
Q2025-036,2025,"A 63-year-old male presents with a 2-day history of right lower extremity edema and pain. He has a past medical history of hypertension, stage 4 chronic kidney disease, and type 2 diabetes, for which he takes insulin. His last glomerular filtration rate was 22 mL/min/1.73 m2. He does not report any trauma, chest pain, or shortness of breath. On examination he has a weight of 70 kg (154 lb) and the remainder of his vital signs are within normal limits. Examination of his right lower extremity reveals erythema, tenderness, and 2+ edema at the back of the knee. A Doppler venous duplex ultrasound of the right thigh shows a noncompressible right femoral vein. Which one of the following would be the most appropriate initial treatment for this patient�s condition? Which one of the following would be the most appropriate next step in management?",,
Q2025-038,2025,"A 25-year-old male presents to the emergency department with a sudden onset of right-sided chest pain that started about 2 hours ago while he was resting and playing video games. He reports feeling slightly short of breath. He has no history of lung disease, and he smokes 1 pack of cigarettes per day. On examination he has a blood pressure of 120/80 mm Hg, a heart rate of 115 beats/min, a respiratory rate of 20/min, and an oxygen saturation of 90% on room air. A chest x-ray reveals a pneumothorax involving <10% of the lung space. Which one of the following would be the most appropriate next step in management?",,
Q2025-039,2025,"A 17-year-old female with well-controlled diabetes mellitus is brought to your office by her mother for a sports preparticipation physical evaluation prior to playing soccer. She has intermittent knee pain when running but no other symptoms. Which one of the following, if present in this patient, would be a CONTRAINDICATION to playing soccer?",,
Q2025-040,2025,"An otherwise healthy 26-year-old female presents to your clinic with a history of 3 episodes of vertigo occurring over the last week. Each episode lasts for several hours. During the episodes, she notes fullness in the right ear with tinnitus and hearing loss. She has not noticed anything specific that triggers the episodes, and reports consuming 1 glass of wine per night. She does not report headache, visual changes, fever, or upper respiratory symptoms. She is currently asymptomatic and a physical examination is unremarkable. Which one of the following would be the most appropriate next step?",,
Q2025-041,2025,"A new lipid-lowering drug is being evaluated for its cardioprotective effects. The event rate for acute myocardial infarction is 0.085 in the low-intensity treatment group and 0.045 in the high-intensity treatment group, yielding an absolute risk reduction (ARR) of 0.04. Which one of the following is the number needed to treat (NNT)?",,
Q2025-042,2025,A 75-year-old female presents to your office with a 3-month history of episodes of lightheadedness on standing. Orthostatic blood pressure testing in your office reveals an initial blood pressure of 134/76 mm Hg that drops to 104/46 mm Hg on standing. A laboratory evaluation is unremarkable and review of her medications does not show an obvious cause for her symptoms. Echocardiography and tilt table testing are unremarkable. You diagnose orthostatic hypotension. Monotherapy with which one of the following would be indicated for the management of this patient's neurogenic orthostatic hypotension?,,
Q2025-043,2025,"A 22-year-old female with a past medical history of type 1 diabetes presents to the emergency department with multiple bouts of vomiting. She says that she is not consistently adherent to her insulin regimen. She has a plasma glucose level of 350 mg/dL, elevated ketones, and high anion gap metabolic acidosis. Treatment for diabetic ketoacidosis is initiated with intravenous fluids and insulin therapy. Glucose should be added to this patient�s saline infusion when her plasma glucose levels reach which one of the following ranges?",,
Q2025-044,2025,"A 32-year-old female with a recent diagnosis of posttraumatic stress disorder presents to your clinic with difficulty sleeping. She recently left an abusive relationship and has been attending trauma-focused psychotherapy. She has found the psychotherapy helpful, but she continues to experience midsleep awakening due to hyperarousal and nightmares. Which one of the following would be the most appropriate treatment?",,
Q2025-045,2025,"A 58-year-old female with type 2 diabetes controlled on metformin recently underwent bariatric surgery. Today, she reports feeling off balance and having a burning sensation in her bilateral hands and feet that is worse at night. She reports difficulty ambulating and has fallen several times over the past few weeks. She has intermittent nausea, vomiting, and confusion, and reports aches and pains all over. A physical examination is significant for absent patellar and Achilles reflexes. Her strength is 4/5 in the bilateral lower extremities with decreased pinprick sensation. Which one of the following is the most likely diagnosis?",,
Q2025-046,2025,"A 76-year-old female with a past medical history of hypertension and major depressive disorder presents because of acute right knee pain that began after she sustained a mechanical fall and landed on her knee while taking a walk near her house yesterday. She was able to walk home without difficulty. She applied ice to the area after the fall, but her knee was more painful this morning. When asked to point to the pain, she points to an area lateral to the inferior patella. Examination of the knee reveals no redness or swelling but minor warmth over the anterior knee. Lower extremity sensation is intact. The patient has full range of motion with pain. There is no tenderness of the patella or the fibular head with palpation. Provocative testing including an Apley grind test, a McMurray test, a Lachman test, and anterior and posterior drawer tests is negative. Which one of the following would be the most appropriate next step to aid in diagnosis?",,
Q2025-047,2025,"A 31-year-old gravida 3 para 2 at 8 weeks' gestation presents to the urgent care clinic because of a 2-day history of headache and fever. This morning she removed an engorged tick from her leg. On examination she is ill appearing but alert and interactive. An HEENT examination is normal and there is no pain with neck flexion. A cardiopulmonary examination is normal. There is no rash. You suspect Rocky Mountain spotted fever. In addition to supportive care, which one of the following would be the most appropriate treatment? Laboratory Findings Alkaline phosphatase  450 U/L (N 44�147) AST  70 U/L (N 10�40) Total bilirubin  1.5 mg/dL (N 0.1�1.2) Antimitochondrial antibodies  positive Which one of the following is the most likely diagnosis? Today the patient's vital signs, a CBC, a comprehensive metabolic panel, and TSH and vitamin B12 levels are unremarkable. A urine pregnancy test and drug screen are negative. She is alert and oriented during the office visit. Which one of the following would be the most appropriate therapy at this time?",,
Q2025-050,2025,"A 23-year-old female presents for IUD removal because she wants to conceive. She has never been pregnant, is in good health, and takes no medications. Her blood pressure is normal and her BMI is 33 kg/m2. Which one of the following should you recommend regarding aspirin prophylaxis for preeclampsia?",,
Q2025-051,2025,"A 74-year-old female presents to your office for follow-up of cardioembolic stroke 1 day after being discharged from the hospital. She presented to the hospital with acute left-sided hand and face weakness. An evaluation in the hospital revealed new atrial fibrillation, mild mitral regurgitation, and a small right-sided cerebral infarction. Cardioembolic stroke was diagnosed. She was discharged 48 hours later after her left-sided weakness had almost completely resolved. Which one of the following therapeutic options is preferred for this patient?",,
Q2025-052,2025,"A 75-year-old female with an ST-elevation myocardial infarction (STEMI) diagnosed in the emergency department has been admitted to your service. She underwent a percutaneous coronary intervention with a drug-eluting stent to the circumflex artery and had been recovering well until she developed acute shortness of breath on the fourth day of hospitalization. Today, her vital signs reveal a blood pressure of 91/55 mm Hg, a heart rate of 110 beats/min, and an oxygen saturation of 89% on room air. On physical examination, the patient appears moderately distressed and has no jugular venous pulse. Auscultation reveals a regular rate, normal S1 and S2, and a systolic murmur over the mitral post. Crackles are heard in all lung fields. There is no lower extremity edema. Which one of the following is the likely etiology of this condition? Based on the Global Initiative for Asthma (GINA) guidelines, which one of the following would be the preferred treatment strategy for this patient?",,
Q2025-054,2025,"A 37-year-old male who recently returned from a trip to Vietnam presents for evaluation of an intensely pruritic rash on his feet. Physical examination findings are normal other than an erythematous, serpiginous rash on his feet and lower legs. Which one of the following is the most likely diagnosis?",,
Q2025-055,2025,"A 10-year-old male is brought to your office by his mother for follow-up of treatment for a Cryptosporidium infection that he likely contracted during a camping trip after swimming in a freshwater lake. He has completed treatment and is asymptomatic. His mother asks when he is allowed to resume swimming. Because of concerns for ongoing asymptomatic shedding, you should recommend that the patient may return to swimming Laboratory Findings WBCs Hemoglobin Platelets AST ALT Serum creatinine Urine protein to creatinine ratio 12,400/mm3 (N 4000�11,000) 9.8 g/dL (N 12.0�15.0) 43,000/mm3 (N 150,000�400,000) 112 U/L (N 10�59) 95 U/L (N 10�28) 0.8 mg/dL (N 0.6�1.1) 422 mg/g (N <300) Which one of the following would be the most appropriate next step?",,
Q2025-057,2025,A 64-year-old female with a history of hypertension and no prior evidence of kidney disease presents for follow-up of a recent basic metabolic panel that showed an estimated glomerular filtration rate (eGFR) of 49 mL/min/1.73 m2. Which one of the following would confirm a diagnosis of chronic kidney disease?,,
Q2025-058,2025,"A 4-year-old male presents with a 6-day history of fever, rash, and an enlarged lymph node. On examination, you note erythema of the lips, bilateral conjunctivitis, and a diffuse maculopapular rash on the trunk and extremities. The right anterior cervical lymph node is nontender and 2 cm in size. Which one of the following is the most serious complication of this patient's condition?",,
Q2025-059,2025,"A 40-year-old female presents for a health maintenance examination. Her medical history is unremarkable, but her family history is significant for colorectal cancer in her father, thyroid cancer in her paternal aunt, and endometrial cancer in her maternal grandmother. The patient says that her friend was diagnosed with breast cancer 2 weeks ago and is BRCA2 positive. She is anxious about her risk of breast cancer and requests a mammogram and BRCA testing. According to the U.S. Preventive Services Task Force guidelines, which one of the following would be most appropriate for this patient regarding genetic testing for BRCA1/2?",,
Q2025-060,2025,"You are seeing a patient at 12 weeks' gestation for prenatal care. She has a family history of neural tube defects and is taking 4 mg of high-dose folic acid supplementation daily. Her pregnancy is progressing normally, and she has no concerns. Which one of the following should you recommend for this patient regarding ongoing folic acid supplementation?",,
Q2025-061,2025,"A 55-year-old male with a history of diabetes mellitus, hypertension, and stage 3 chronic kidney disease presents for management of recurrent gout. He has had multiple attacks this year despite dietary changes. His uric acid level is 8.6 mg/dL (N 4.5�8.0) and he would like to start gout prophylaxis. Which one of the following would be most appropriate to initiate at this time?",,
Q2025-062,2025,"In a patient with aortic stenosis, which one of the following is an indication for referral for possible valve replacement? Which one of the following would be the most appropriate treatment?",,
Q2025-064,2025,"A 30-year-old female presents for follow-up of infertility. She and her husband have been trying to conceive for the past 12 months. She reports a history of irregular menstrual bleeding over the past several years. A physical examination is unremarkable except for a BMI of 29 kg/m2. You suspect polycystic ovary syndrome (PCOS) and recommend diagnostic testing with fasting laboratory studies scheduled for 8:00 a.m. An elevation in which one of the following hormones would most strongly support a diagnosis of PCOS in this patient? An HEENT examination is normal. On neurologic testing, he exhibits horizontal nystagmus with left lateral gaze. Head-impulse testing reveals a rapid movement of both eyes. Which one of the following would be the most appropriate next step?",,
Q2025-066,2025,A 24-year-old gravida 2 para 2 presents to your office with melasma that has not resolved since she gave birth 6 months ago. She is eager to be treated. Which one of the following topical treatments would be the most effective for this patient's melasma? Evidence supports exposing the patient to these potentially allergenic foods starting at which one of the following ages?,,
Q2025-068,2025,"A 23-year-old female presents after a sexual assault that occurred the prior evening. She reports nonconsensual penetrative vaginal intercourse. The assailant was an acquaintance with unknown medical history. The patient takes no medications and is up to date on vaccinations, including tetanus, HPV, and hepatitis B, although her hepatitis B serology status is unknown. She elects to undergo a medical forensic examination, which is completed with the help of a certified Sexual Assault Nurse Examiner. A urine pregnancy test is negative, and sexually transmitted infection testing is performed. Which one of the following would be most appropriate to offer at this time? Which one of the following treatments would be most effective for this patient's symptoms?",,
Q2025-070,2025,"A 72-year-old female with osteoporosis (T-score �2.8) is seen in your office for the first time. She was prescribed alendronate (Fosamax), 70 mg weekly, by her previous physician. The patient took the medication but discontinued it after 4 weeks because of gastrointestinal symptoms. Which one of the following would be the most appropriate action at this time?",,
Q2025-071,2025,"A 27-year-old patient presents to the emergency department with a fever, headache, and stiff neck. You diagnose sepsis and perform a lumbar puncture. The results are consistent with bacterial meningitis. In addition to antibiotics, which one of the following intravenous therapies is most likely to improve mortality? Which one of the following is most likely to improve this patient�s symptoms?",,
Q2025-073,2025,"A 45-year-old male with a recent diagnosis of Crohn disease presents to your office for a health maintenance examination. His gastroenterologist advised that he ask you about vaccine updates. He has not seen a primary care physician in over 15 years. His current medications include methotrexate and azathioprine (Imuran). He received a Tdap vaccine 6 years ago at an urgent care clinic and recently received a seasonal influenza vaccine and an updated COVID-19 vaccine at his gastroenterologist�s office. He is confident that he received all of his childhood vaccines. Which one of the following vaccines should you recommend today? Amoxicillin/clavulanate (Augmentin) Escitalopram (Lexapro) Fludrocortisone Levothyroxine (Synthroid) Prednisolone Her vital signs at presentation include a blood pressure of 97/58 mm Hg, a pulse rate of 116 beats/min, and a temperature of 37.2 �C (99.0 �F). A basic metabolic panel is notable for the following results: Sodium  133 mEq/L (N 136�145) Potassium  5.8 mEq/L (N 3.4�4.4) Creatinine  1.0 mg/dL (N 0.6�1.1) Glucose  60 mg/dL Which one of the following therapies should be started as soon as possible to prevent further worsening of this patient's acute condition? Which one of the following would be the most appropriate next step in the evaluation of this patient with suspected syncope?",,
Q2025-076,2025,"A 64-year-old male presents with urinary frequency. His symptoms have been ongoing for months, but he says they have acutely worsened in the last 6�8 weeks. His symptoms are predominantly storage-related with daytime frequency, nocturia, urgency, and even infrequent incontinence. He also reports difficulty voiding, noting a weak stream and hesitancy. He does not have erectile dysfunction. Urinalysis is negative. In addition to behavioral and lifestyle alterations, which one of the following medications should you recommend for initial therapy? Which one of the following factors, if present, would indicate inadequate breastfeeding at this time?",,
Q2025-078,2025,"A 25-year-old male presents to the urgent care clinic with a 4-day history of fever, chills, myalgias, and cough. He lives with a roommate and works remotely from home. His last influenza vaccine was 5 years ago, and his most recent COVID-19 vaccine was 2 years ago. His temperature is 38.3 �C (100.9 �F), and his heart rate and blood pressure are within the normal range. A physical examination is normal except for occasional rhonchi. Rapid antigen testing is positive for influenza B and negative for influenza A and COVID-19. Which one of the following is the most appropriate treatment for this patient's influenza B?",,
Q2025-079,2025,A 30-year-old male with a long-standing history of obsessive-compulsive disorder presents for follow-up to discuss potential pharmacotherapy due to an inadequate treatment response to psychotherapy. Which one of the following medications would be most likely to improve this patient�s symptoms while minimizing the risk of adverse side effects? Which one of the following has the best evidence to prevent future falls and associated serious injury?,,
Q2025-081,2025,Which one of the following would be most appropriate for initial treatment of Helicobacter pylori infection?,,
Q2025-082,2025,"The parent of a 5-year-old male calls your office after the child sustains burns to his arms and chest while helping his father boil pasta in the kitchen. The father tells you that the burned areas of skin are red without any open areas. He estimates the size of the burns on the arms at 2�3 cm in diameter and those on the chest at 5�6 cm. The child is crying in pain and the father asks what he should do. Which one of the following immediate interventions has the best evidence of reducing burn depth, improving healing time, and decreasing skin graft requirements? Which one of the following anticoagulation regimens would be the most appropriate initial treatment?",,
Q2025-084,2025,Which one of the following puts a patient at the highest risk of developing breast cancer?,,
Q2025-085,2025,"An 83-year-old female sees you for follow-up 2 weeks after being discharged home from an acute rehabilitation facility. She experienced an acute ischemic stroke 6 weeks ago and spent several weeks in the rehabilitation setting after an initial hospital stay. Home health services have been assisting her since she returned home. Today she reports improved mobility, speech, and swallowing, but persistent difficulties with low mood. She finds it difficult to enjoy hobbies and avoids visiting with family and friends. She has been sleeping more than usual and finds it difficult to get out of bed in the morning. You diagnose poststroke depression. In addition to talk therapy, which one of the following is recommended as first-line therapy for this condition?",,
Q2025-087,2025,"A 55-year-old female with a medical history of hypothyroidism, hypertension, and morbid obesity with a recent gastric bypass surgery presents with a history of dizziness, sweating, shaking, fatigue, and occasional fainting, occurring 1�2 hours after consuming beverages containing dairy products or a high sugar content. Her blood glucose levels, measured with her husband's glucometer during each episode, range between 50 mg/dL and 55 mg/dL. Which one of the following is the most likely cause of this patient's symptoms?",,
Q2025-088,2025,"A 10-month-old male is brought to your office with a 1-day history of fussiness and tugging at his ear. The child's mother says that he has had a fever this morning. He is up to date on all immunizations, and he does not have a history of previous ear infections or recent illness. He has a history of hives after being given amoxicillin. On examination the child has a temperature of 39.2 �C (102.6 �F) but seems to be only slightly uncomfortable. When you examine his ears you note moderate bulging of the left tympanic membrane and normal findings in the right ear. All other findings are normal. According to the American Academy of Pediatrics guidelines, which one of the following would be the most appropriate initial management? Which one of the following would be the most appropriate next step in management?",,
Q2025-090,2025,"A 32-year-old male presents for advice on smoking cessation. He has smoked 10 cigarettes per day for the past 10 years. His grandmother was recently diagnosed with lung cancer, and he is motivated to quit. You advise him that smoking cessation is the most important action that he can take for his health, and you counsel him about effective behavioral interventions. Which one of the following behavioral changes would improve this patient's chances of smoking cessation?",,
Q2025-091,2025,Which one of the following medications is the recommended initial management of COPD in patients who are classified as GOLD group A? Laboratory Findings Serum glucose  750 mg/dL Serum osmolality  350 mOsm/kg H2O (N 275�295) Urine ketones  trace Arterial pH  7.3 Anion gap  normal Which one of the following would be the most appropriate initial treatment?,,
Q2025-093,2025,"A 65-year-old male with symptomatic heart failure presents for follow-up. He currently has no symptoms of dyspnea at rest, but has moderate to significant limitations with ordinary activity. His most recent echocardiogram showed a left ventricular ejection fraction of 38%. His last hemoglobin A1c was the highest it has ever been at 6.3%, and he does not take any glucose-lowering medications. His current medications include losartan (Cozaar), carvedilol (Coreg), furosemide (Lasix), and spironolactone (Aldactone). On examination he has a blood pressure of 120/75 mm Hg and an oxygen saturation of 94% on room air, and there are no pulmonary crackles or peripheral edema. Adding which one of the following would be most likely to further reduce this patient�s mortality risk? Which one of the following test results would be sufficient to diagnose diabetes in this patient?",,
Q2025-095,2025,"A 36-year-old male presents to your office with continued pain in his right arm after sustaining a right forearm fracture 6 weeks ago that was treated with cast immobilization. At the time of the injury, he noted a severe, throbbing pain in his right forearm that improved with NSAID therapy. Now, he feels a severe, sharp pain with burning and numbness throughout the arm and hand that worsens with any pressure, including clothing. He reports weakness in his right hand and notes that he drops objects such as cups. He is afebrile and his vital signs are within normal limits. An examination reveals pain to light touch in the right arm. The right arm is warmer to the touch than the left arm with trace edema noted. The patient's right-hand grip is 4/5, and his left-hand grip is 5/5. You note 2+ radial and brachial pulses and normal bilateral reflexes. Which one of the following is the most likely etiology of this patient's pain? In addition to sexually transmitted infection testing and empiric treatment, which one of the following should you recommend?",,
Q2025-097,2025,"A 65-year-old male with a past medical history of hypertension and hyperlipidemia presents to the urgent care clinic approximately 20 hours after experiencing an episode of sudden-onset right-hand weakness. He was suddenly unable to grasp his utensils while eating dinner. These symptoms resolved after about 20 minutes. His wife had encouraged him to seek urgent evaluation, but he declined because his symptoms had resolved. Today the patient's vital signs include a blood pressure of 124/72 mm Hg, a heart rate of 80 beats/min, and a respiratory rate of 12/min. The neurologic examination findings are normal. An EKG shows normal sinus rhythm. The ABCD2 score is 4. Further management includes which one of the following regimens?",,
Q2025-098,2025,"A 55-year-old patient with a previous history of opioid use disorder and untreated hypertension presents to your office to establish care. They are now in recovery and would like to catch up on screening laboratory studies. Their blood pressure today is 160/90 mm Hg. Laboratory studies show elevated AST, ALT, and alkaline phosphatase levels and are positive for hepatitis C antibody and hepatitis C viral load. Testing for hepatitis B and HIV is negative. Lipids are elevated. You calculate an atherosclerotic cardiovascular disease 10-year risk score of 10%. A right upper quadrant ultrasound shows fibrotic changes of the liver. The patient is surprised that they have liver damage, as they feel well and have never consumed much alcohol. In addition to referring the patient to a gastroenterologist, which one of the following should you begin now to improve fibrotic changes?",,
Q2025-099,2025,"A 46-year-old female sees you for an annual well woman visit. Her only concern is pelvic pressure that becomes more bothersome throughout the day. She notes occasional urinary incontinence of small amounts when coughing or running. She says these symptoms mildly bother her, and mostly wants to make sure there is not a more serious problem. On physical examination, using the lower half of a bivalve speculum, you note a prolapse of the anterior wall, 0.5 cm proximal to the hymenal ring. Which one of the following would be the most appropriate next step for this patient? Which one of the following would be the most appropriate first step in management?",,
Q2025-101,2025,"A 22-year-old male presents with a 5-day history of left lower leg pain over the midshaft of his tibia. Two months ago, he started training for a half marathon. Radiographs performed yesterday at an urgent care clinic were normal. You suspect a bone stress injury. Which one of the following is the preferred definitive imaging modality to evaluate for a bone stress injury?",,
Q2025-102,2025,"A 32-year-old female presents to an urgent care clinic with a flare-up of her usually well-controlled chronic urticaria. She takes cetirizine (Zyrtec), 10 mg daily. Which one of the following should you recommend?",,
