QuestionID,ExamYear,QuestionStem,BodySystem,Subcategory,BlueprintCategory_Predicted,CorrectAnswer
Q2020-011,2020,"A 16-year-old female presents with chronic acne on her nose, forehead, and chin consisting of
a few comedones and a few mildly inflamed papules and pustules. She says it is minimally
improved after 12 weeks of daily adapalene 0.1% gel. There are no scars or cysts. The patient
would like to try to achieve better control.
Which one of the following would you recommend at this time?
A) Continue adapalene 0.1% gel for 12 more weeks
B) Add clindamycin (Cleocin T) 1% gel for up to 12 weeks
C) Add clindamycin 1% gel for maintenance
D) Stop adapalene 0.1% gel and start clindamycin 1% gel for maintenance
E) Stop adapalene 0.1% gel and start erythromycin 2% gel for maintenance

A) 
B) 
C) 
D) 
E) ",Integumentary,Management,Acute Care and Diagnosis,B
Q2020-012,2020,"A 32-year-old female who is one of your longtime patients calls you because of a 24-hour history
of painful urination with urinary frequency and urgency. She is otherwise healthy and does not
have any fever, chills, back pain, or vaginal discharge. She uses an oral contraceptive pill and
states that her last menstrual period was normal and occurred last week.
Which one of the following would be most appropriate at this time?
A) Empiric antibiotic treatment
B) A urinalysis
C) A urine culture
D) Plain abdominal radiographs
E) Pelvic ultrasonography

A) 
B) 
C) 
D) 
E) ",Reproductive: Female,Pharmacology,Acute Care and Diagnosis,A
Q2020-013,2020,"A 70-year-old  female develops  thrombocytopenia  during a prolonged  hospitalization  for
endocarditis. Her current medications include scheduled unfractionated heparin injections for
venous thromboembolism prophylaxis. You suspect heparin-induced thrombocytopenia (HIT).
Assuming that her thrombocytopenia is caused by HIT, which one of the following is the most
likely complication?
A) Anaphylaxis
B) Disseminated intravascular coagulation
C) Hemorrhage
D) Sepsis
E) Thrombosis
5

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Acute Care and Diagnosis,E
Q2020-014,2020,"You are asked for your advice as part of a committee formed by your local health system to
focus on fall prevention.
Based on U.S. Preventive Services Task Force recommendations, which one of the following
interventions has the strongest evidence for preventing falls in community-dwelling older adults
at increased risk for falls?
A) Calcium supplementation
B) Vitamin D supplementation
C) Supportive footwear
D) Exercise classes
E) Cognitive-behavioral therapy

A) 
B) 
C) 
D) 
E) ",Population-Based Care,Screening,Preventive Care,D
Q2020-015,2020,"A 42-year-old male presents with a 10-day history of hoarseness. He also has a 2-month history
of reflux symptoms and has been taking antacids as needed. He does not take any other
medications. There is no history of fever, weight loss, night sweats, or appetite changes. You
note that the patient is hoarse, and a physical examination is normal, including HEENT,
cardiovascular, and pulmonary examinations. He is a member of a community choir that
rehearses twice a week.
In addition to voice rest, which one of the following would be most appropriate at this time?
A) Supportive care only
B) Azithromycin (Zithromax)
C) Omeprazole (Prilosec)
D) A course of prednisone

A) 
B) 
C) 
D) 
E) ",Respiratory,Pharmacology,Acute Care and Diagnosis,C
Q2020-016,2020,"A 57-year-old male with a history of heart failure sees you for follow-up. He describes
symptoms of mild dyspnea on exertion with ordinary activities such as shopping or yard work.
An echocardiogram shows an ejection fraction of 37%.
According to the New York Heart Association criteria, this patientâ€™s heart failure would be
classified as which one of the following?
A) Class I
B) Class II
C) Class III
D) Class IV
6

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Interpretation,Chronic Care Management,B
Q2020-017,2020,"A 40-year-old runner presents with pain in the left leg. He is training for a marathon and has
been increasing his running distance in recent weeks. He reports localized pain and swelling at
the midpoint of the shin over the past 4 weeks that begins after a run and lasts for a few days,
but now the swelling and tenderness have lasted for several days and there is severe pain when
he tries to run. You suspect a tibial stress fracture.
Which one of the following imaging modalities would be indicated initially?
A) A plain film
B) Ultrasonography
C) CT
D) MRI
E) Bone scintigraphy

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Workup,Acute Care and Diagnosis,A
Q2020-018,2020,"A 24-year-old female presents with progressively worsening vulvar pain for 3 days. On
examination a 3Ã—3-cm tender, fluctuant mass is noted on the right labia minora. She had a
similar episode of this problem last year.
Which one of the following would be the most appropriate management?
A) Expectant management
B) Fine-needle aspiration
C) Incision and drainage
D) Marsupialization
E) Excision under general anesthesia

A) 
B) 
C) 
D) 
E) ",Integumentary,Management,Acute Care and Diagnosis,D
Q2020-019,2020,"Which one of the following should NOT be consumed during pregnancy due to a potentially high
mercury content?
A) Catfish
B) Crawfish, shrimp, and lobster
C) Flounder and haddock
D) Salmon and trout
E) Shark and swordfish
7

A) 
B) 
C) 
D) 
E) ",Nonspecific,Pharmacology,Foundations of Care,E
Q2020-020,2020,"An 18-month-old female is brought to your office by her mother for evaluation of a cough. The
patient has had low-grade fevers and a runny nose for 2 days. She now has a cough that is worse
at night. On examination she has a temperature of 37.5Â°C (99.5Â°F), a pulse rate of 120
beats/min, a respiratory rate of 30/min, and an oxygen saturation of 92% on room air. She is
noted to have hoarseness, mild inspiratory stridor, and a barking cough. She does not have
drooling or a muffled voice.
Which one of the following should be ordered to confirm the diagnosis?
A) No further testing
B) A CBC
C) A viral culture
D) Rapid antigen testing
E) A radiograph of the neck

A) 
B) 
C) 
D) 
E) ",Respiratory,Diagnosis,Acute Care and Diagnosis,A
Q2020-021,2020,"A 25-year-old male presents with a 4-month history of crampy abdominal pain, diarrhea, and
fatigue.  His  symptoms  began  gradually  but  have  become  more  severe  and  he  is  now
experiencing rectal bleeding. He says that his abdominal pain seems to temporarily improve after
eating. He has smoked five cigarettes per day for the past 8 years. He is surprised to learn that
he has lost 7 kg (15 lb) when he is weighed today.
His vital signs include a blood pressure of 116/70 mm Hg, a heart rate of 76 beats/min, a
respiratory rate of 12/min, and a temperature of 37.7Â°C (99.9Â°F). A physical examination
reveals abdominal tenderness and mild distention. An anorectal examination is significant for a
perianal fistula. A laboratory evaluation is notable for mild anemia. His kidney and liver
function are normal.
Which one of the following is the most likely diagnosis?
A) Celiac disease
B) Chronic pancreatitis
C) Crohnâ€™s disease
D) Irritable bowel syndrome
E) Ulcerative colitis

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Diagnosis,Acute Care and Diagnosis,C
Q2020-022,2020,"A 34-year-old female at 32 weeks gestation presents with a right-sided, pounding headache that
began 8 hours ago and is similar to headaches she has had in the past. She is sensitive to light
and sound, and has vomited several times since the onset of pain. She has taken acetaminophen
without relief. She takes prenatal vitamins but no other routine medications. On examination her
blood pressure is normal.
Which one of the following would be the most appropriate treatment for this patient?
A) Dihydroergotamine
B) Metoclopramide (Reglan)
C) Naproxen
D) Oxycodone (OxyContin)
E) Sumatriptan (Imitrex)
8

A) 
B) 
C) 
D) 
E) ",Nonspecific,Treatment,Acute Care and Diagnosis,B
Q2020-023,2020,"Which one of the following U-100 insulin products has the longest duration of action?
A) Degludec (Tresiba)
B) Glargine (Lantus)
C) Isophane NPH (Humulin N)
D) Lispro (Humalog)
E) Regular (Humulin R)

A) 
B) 
C) 
D) 
E) ",Endocrine,Management,Acute Care and Diagnosis,A
Q2020-024,2020,"When performing a geriatric assessment, which one of the following is an instrumental activity
of daily living?
A) Bathing
B) Dressing
C) Transferring between the bed and a chair
D) Using the telephone
E) Using the toilet

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Pharmacology,Foundations of Care,D
Q2020-025,2020,"A 21-year-old female sees you for a medical evaluation prior to admission to a treatment
program for anorexia nervosa. The effects of anorexia on the hypothalamic-pituitary axis can
cause which one of the following?
A) Bone loss
B) Elevated testosterone
C) Hyperglycemia
D) Hypothyroidism
E) Menorrhagia

A) 
B) 
C) 
D) 
E) ",Endocrine,Workup,Chronic Care Management,A
Q2020-026,2020,"A 9-year-old male with a history of moderate persistent asthma is brought to the emergency
department with an acute exacerbation. His symptoms began with a runny nose and nasal
congestion 2 days ago. His parents state that he has not had any fevers or chills and he was
eating and drinking well until a few hours ago when his breathing started to appear more
labored.  After  multiple  treatments  with  inhaled  albuterol  (Proventil,  Ventolin)  and  oral
prednisolone he remains tachypneic and wheezy.
Which one of the following intravenous medications should be added to the patientâ€™s current
treatment to reduce the likelihood of hospital admission?
A) Ketorolac
B) Magnesium sulfate
C) Methylprednisolone
D) Omalizumab (Xolair)
E) Theophylline
9

A) 
B) 
C) 
D) 
E) ",Respiratory,Pharmacology,Acute Care and Diagnosis,B
Q2020-027,2020,"A 10-year-old female is brought to your office for a sports preparticipation examination. You
note thoracic rib asymmetry during the Adams forward bend test. Radiographs confirm
rightward thoracolumbar scoliosis with a Cobb angle of 32Â°.
Which one of the following would be most appropriate at this time?
A) Genetic testing (ScoliScore)
B) MRI of the thoracic and lumbar spine without contrast
C) Scoliosis radiography in 1 year
D) Referral to physical therapy
E) Referral to a pediatric orthopedist

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Prognosis/Risk,Acute Care and Diagnosis,E
Q2020-028,2020,"An 85-year-old nursing home patient with dementia who has bilateral hearing aids has been
slightly more confused over the past 2 weeks according to the staff. He is also speaking at a
louder volume than normal. He does not have any pain, but an examination shows impacted
cerumen in both ears.
Which one of the following would be most appropriate in the management of this patient?
A) No therapy
B) Irrigation of the ears with cold water
C) Use of olive oil drops
D) Removal of the cerumen using peroxide
E) Restraining the patient and attempting manual removal of the cerumen

A) 
B) 
C) 
D) 
E) ",Special Sensory,Treatment,Acute Care and Diagnosis,D
Q2020-029,2020,"A previously healthy 18-year-old female presents with finger pain. About 5 days ago she started
to have mild burning of her left distal index finger. Two days later she developed worsening pain
and redness of her fingertip. She does not remember injuring her finger or having a similar
problem previously.
On examination you note erythema of the medial palmar tip of her affected finger, with several
vesicles that have opaque fluid in them. The distal digital pulp is soft but tender.
Which one of the following is the most appropriate treatment for this condition?
A) Warm water soaks
B) Pain control and dressings
C) Antibiotics
D) Antifungals
E) Incision and drainage
10

A) 
B) 
C) 
D) 
E) ",Integumentary,Treatment,Acute Care and Diagnosis,B
Q2020-030,2020,"A 52-year-old gravida 4 para 4 presents with bothersome incontinence, predominantly with
coughing and straining. In addition to a physical examination, urinalysis, and measurement of
postvoid residual volume, which one of the following tests is recommended as part of the initial
evaluation?
A) Cough stress testing
B) Urodynamic testing
C) Pelvic ultrasonography with a vaginal probe
D) Cystoscopy

A) 
B) 
C) 
D) 
E) ",Nephrologic,Workup,Acute Care and Diagnosis,A
Q2020-031,2020,"The mother of a 1-year-old child wants to know how useful influenza vaccine is for preventing
influenza in young children. The influenza season is typically significant in your area and the
child attends day care. You answer her question by explaining how many children need to be
vaccinated in order to prevent one case of influenza.
This statistic is referred to as the
A) absolute risk reduction
B) relative risk reduction
C) number needed to treat
D) number needed to harm
E) prevalence

A) 
B) 
C) 
D) 
E) ",Population-Based Care,Prevention,Foundations of Care,C
Q2020-032,2020,"A 45-year-old male comes to your office for a routine health maintenance examination. His
medical history is significant for sarcoidosis, which was diagnosed 5 years ago during a workup
for hilar adenopathy seen on a routine chest radiograph. He has been entirely asymptomatic for
the past 2 years and has never required any treatment.
Which one of the following annual screenings would be most appropriate?
A) Bone density screening
B) Echocardiography
C) High-resolution CT of the chest
D) An ophthalmologic examination
E) A urinalysis

A) 
B) 
C) 
D) 
E) ",Respiratory,Screening,Preventive Care,D
Q2020-033,2020,"A 34-year-old female has a â€œbumpâ€ on her middle finger (shown below). She thinks it has been
there approximately a month but says that it only recently began to bother her. She has not tried
to treat it.
This lesion is most likely a
A) basal cell carcinoma
B) dermatofibroma
C) keratoacanthoma
D) mucous cyst
E) wart
11
Item #33
12

A) 
B) 
C) 
D) 
E) ",Integumentary,Treatment,Acute Care and Diagnosis,D
Q2020-034,2020,"A 73-year-old female sees you for the first time for a health maintenance visit. Her medical
history includes hyperlipidemia, GERD, insomnia, and osteoarthritis, but she is otherwise
healthy. Her estimated 10-year risk of atherosclerotic cardiovascular disease is 14%. She lives
independently. She has a past history of alcohol abuse but has not used alcohol in 20 years, and
is a lifetime nonsmoker. Her current medication regimen includes aspirin, 81 mg once daily;
melatonin, 3 mg at bedtime; acetaminophen, 500 mg three times daily; atorvastatin (Lipitor),
20 mg once daily; and famotidine (Pepcid), 20 mg once daily.
Today her blood pressure is 130/70 mm Hg, pulse rate 72 beats/min, and oxygen saturation 95%
on room air.
Which one of the following changes to her current medication regimen would improve the
likelihood of benefit and reduce the likelihood of harm?
A) Stopping aspirin
B) Stopping melatonin
C) Stopping acetaminophen and starting diclofenac, 50 mg twice daily
D) Stopping atorvastatin and starting rosuvastatin (Crestor), 40 mg at bedtime
E) Stopping famotidine and starting omeprazole (Prilosec), 20 mg once daily

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Chronic Care Management,A
Q2020-035,2020,"A 14-year-old female is brought to your office as a new patient for a routine well child
examination. She has had very little medical care since the pre-kindergarten evaluation. She feels
well and does not take any medications. Her past medical, surgical, family, and social histories
are  unremarkable. A  review  of systems  is  notable for  no  history of  menstruation. An
examination is notable for a height at the first percentile and a lack of any breast development.
Laboratory studies reveal an elevated FSH level.
Which one of the following would be the most appropriate next step?
A) Follow-up every 3â€“6 months for assessment of pubertal development
B) A corticotropin stimulation test
C) Karyotyping
D) Radiography of the hand for bone age
E) MRI of the brain and pituitary
13

A) 
B) 
C) 
D) 
E) ",Endocrine,Management,Acute Care and Diagnosis,C
Q2020-036,2020,"A 42-year-old male sees you for follow-up after his third episode of pneumonia. He has no other
significant medical history. He has never smoked, drinks alcohol occasionally, and has no other
drug use or known exposures. A physical examination is normal. Pulmonary function tests
demonstrate an FEV  of 72% of predicted and an FEV /FVC ratio of 0.68, which does not
1 1
normalize with bronchodilator administration. A chest radiograph shows hyperinflation but no
other significant findings.
Laboratory Findings
Plateletsï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 102,000/mm3 (N 150,000â€“450,000)
Creatinine ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 0.7 mg/dL (N 0.6â€“1.2)
ASTï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 56 U/L (N 8â€“48)
ALTï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 43 U/L (N 7â€“55)
Albumin ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€®ï€® 3.3 g/dL (N 3.5â€“5.0)
Which one of the following conditions best explains this patientâ€™s abnormal findings?
A) -Antitrypsin deficiency
1
B) Cystic fibrosis
C) Goodpasture syndrome
D) Hereditary hemochromatosis
E) Sarcoidosis

A) 
B) 
C) 
D) 
E) ",Respiratory,Diagnosis,Chronic Care Management,A
Q2020-037,2020,"Which one of the following is most likely to cause a false-positive urine drug screen for
amphetamines?
A) Amlodipine (Norvasc)
B) Bupropion (Wellbutrin)
C) Levofloxacin (Levaquin)
D) Pantoprazole (Protonix)
E) Sertraline (Zoloft)

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Pharmacology,Chronic Care Management,B
Q2020-038,2020,"The U.S. Preventive Services Task Force recommends screening for depression for
A) all adults
B) all women but not men
C) only adults with a family history of depression
D) only adults with a known personal history of depression
E) only adults with a history of disability, medical illness, complicated grief, chronic sleep
disturbance, and/or loneliness
14

A) 
B) 
C) 
D) 
E) ",Population-Based Care,Screening,Preventive Care,A
Q2020-039,2020,"A 62-year-old female sees you for a routine health maintenance examination. She has a history
of breast cancer diagnosed 6 years ago that was treated with lumpectomy, radiation, and
endocrine therapy. She is feeling well today and has no symptoms of concern. There is no family
history of breast, ovarian, colon, or prostate cancers.
In addition to mammography, which one of the following annual tests would improve this
patientâ€™s chance of survival?
A) No tests
B) CT of the chest
C) MRI of the breast
D) Breast ultrasonography
E) A bone scan

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Prognosis/Risk,Preventive Care,A
Q2020-040,2020,"A 62-year-old male with hypertension presents to your office with substernal chest pain radiating
into his left arm for the past 20 minutes. He also has diaphoresis and nausea. He has a blood
pressure of 156/96 mm Hg, a pulse rate of 84 beats/min, and an oxygen saturation of 93% on
room air. An EKG shows ST-segment elevations in leads V1 and V2. Your medical assistant
calls 911 for immediate transport to the local hospitalâ€™s emergency department. While awaiting
the ambulanceâ€™s arrival you give the patient low-dose aspirin and sublingual nitroglycerin.
Which one of the following would be most appropriate regarding oxygen therapy at this time?
A) No oxygen therapy
B) Oxygen via nasal cannula at 2 L/min
C) Oxygen via nasal cannula at 6 L/min
D) 100% oxygen with a regular mask
E) 100% oxygen with a nonrebreathing mask

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Management,Emergent and Urgent Care,A
Q2020-041,2020,"You see an 89-year-old female with advanced dementia who has stopped eating. The patientâ€™s
daughter asks you about the role of tube feeding in this situation. You discuss the risks and
benefits.
In patients with advanced dementia who have a feeding tube placed, there is evidence of
increased
A) nutritional status
B) healing of pressure ulcers
C) quality of life
D) survival
E) emergency department visits
15

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Prognosis/Risk,Foundations of Care,E
Q2020-042,2020,"A 55-year-old male with a BMI of 32 kg/m2 presents to your office to discuss weight
management. He has moderately well controlled type 2 diabetes and hypertension. He prefers
not to modify his diet and would like to know if he can expect significant weight loss from
exercising. He plans to walk briskly for 45 minutes daily.
Which one of the following would be the best advice for this patient?
A) Moderate exercise alone is ineffective for weight loss
B) Moderate exercise alone is superior to dietary changes for weight loss
C) Moderate exercise alone is moderately beneficial for weight loss
D) Adding moderate exercise to dietary changes substantially increases weight loss

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Management,Chronic Care Management,C
Q2020-043,2020,"A 67-year-old female patient began taking a bisphosphonate for treatment of osteoporosis 2 years
ago after a DXA scan revealed a T-score of â€“2.7. Her FRAX score showed a 10-year probability
of hip fracture of 5%. You order a repeat DXA scan and her T-score is now â€“2.3 and her FRAX
score is 3.5%.
Which one of the following should you recommend to this patient regarding the duration of
treatment with a bisphosphonate?
A) Stop taking it now
B) Continue taking it for 1 more year
C) Continue taking it for 3 more years
D) Continue taking it for 7 more years
E) Continue taking it indefinitely

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Pharmacology,Chronic Care Management,C
Q2020-044,2020,"A 43-year-old male presents to the emergency department with the acute onset of sharp, stabbing
chest pain when inhaling and exhaling. The pain worsens with coughing and deep breathing. He
has no significant previous medical history but recently returned from a work trip to Japan and
has noted right leg swelling for the past week. He has no other symptoms. He is a smoker and
has a family history of coronary artery disease in his paternal grandfather. On examination he
appears uncomfortable, and his lungs are clear. A cardiac examination is notable for tachycardia.
He has a blood pressure of 110/70 mm Hg, a heart rate of 112 beats/min, a respiratory rate of
18/min, a temperature of 37.7Â°C (99.9Â°F), and an oxygen saturation of 89% on room air.
Which one of the following test results is most likely to confirm the diagnosis?
A) Elevated troponin levels
B) Acid-fast bacilli on a Gram stain
C) A filling defect on CT angiography
D) Air in the pleural space on a chest radiograph
E) Diffuse ST elevation on an EKG
16

A) 
B) 
C) 
D) 
E) ",Respiratory,Workup,Emergent and Urgent Care,C
Q2020-045,2020,"You have assumed the care of a well established patient in your practice whose medications
include chronic alprazolam (Xanax) treatment for anxiety and codeine for chronic back pain
following a work accident years earlier. His Prescription Drug Monitoring Program report
shows  a  consistent  pattern  of  filling the  medications as  prescribed.  You  order a  urine
immunoassay for opioids and benzodiazepines. The results are positive for opioids but negative
for benzodiazepines.
Which one of the following would be the most appropriate next step?
A) Perform confirmatory testing for alprazolam
B) Repeat the urine immunoassay for benzodiazepines
C) Investigate for possible diversion of alprazolam
D) Stop prescribing alprazolam
E) Stop prescribing controlled substances

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Management,Chronic Care Management,A
Q2020-046,2020,"For patients with atrial fibrillation, which one of the following comorbid conditions represents
the strongest indication for thromboprophylaxis with warfarin (Coumadin), rather than a direct
oral anticoagulant?
A) A CHA DS -VASc score ï‚³3
2 2
B) End-stage chronic kidney disease
C) A mechanical heart valve
D) Mild mitral stenosis
E) Severe mitral regurgitation

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Prevention,Chronic Care Management,C
Q2020-047,2020,"According to the Institute of Medicine, which one of the following domains of health care quality
is most impacted by social determinants of health?
A) Effectiveness
B) Efficiency
C) Equity
D) Safety
E) Timeliness

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,Counseling,Foundations of Care,C
Q2020-048,2020,"The most common symptom of alcohol withdrawal in the elderly is
A) confusion
B) seizures
C) tachycardia
D) tremor
E) vomiting
17

A) 
B) 
C) 
D) 
E) ",Nonspecific,Management,Acute Care and Diagnosis,A
Q2020-049,2020,"According to the Ottawa ankle and foot rules, which one of the following patients with ankle or
foot pain after a twisting injury requires radiographs to rule out a fracture?
A) An 18-year-old male basketball player who landed on an opposing playerâ€™s foot while
rebounding the ball and has tenderness anterior to the lateral malleolus
B) A 23-year-old female who twisted her ankle while playing soccer and has tenderness at
the base of the fifth metatarsal
C) A 30-year-old male who twisted his ankle a week ago after stepping on his childâ€™s toy
and has persistent swelling with tenderness anterior to the medial malleolus
D) A 48-year-old female who slipped while going down stairs and has tenderness and
bruising inferior to the lateral malleolus

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,Management,Emergent and Urgent Care,B
