QuestionID,ExamYear,QuestionStem,BodySystem,ClinicalCategory,Subcategory,BlueprintCategory,BlueprintCategory_Predicted,CorrectAnswer,Reference
Q2020-011,2020,"A 16-year-old female presents with chronic acne on her nose, forehead, and chin consisting of
a few comedones and a few mildly inflamed papules and pustules. She says it is minimally
improved after 12 weeks of daily adapalene 0.1% gel. There are no scars or cysts. The patient
would like to try to achieve better control.
Which one of the following would you recommend at this time?
A) Continue adapalene 0.1% gel for 12 more weeks
B) Add clindamycin (Cleocin T) 1% gel for up to 12 weeks
C) Add clindamycin 1% gel for maintenance
D) Stop adapalene 0.1% gel and start clindamycin 1% gel for maintenance
E) Stop adapalene 0.1% gel and start erythromycin 2% gel for maintenance

A) 
B) 
C) 
D) 
E) ",Integumentary,,Management,,Acute Care and Diagnosis,B,"Ogé LK, Broussard A, Marshall MD: Acne vulgaris: Diagnosis and treatment. Am Fam Physician 2019;100(8):475-484."
Q2020-012,2020,"A 32-year-old female who is one of your longtime patients calls you because of a 24-hour history
of painful urination with urinary frequency and urgency. She is otherwise healthy and does not
have any fever, chills, back pain, or vaginal discharge. She uses an oral contraceptive pill and
states that her last menstrual period was normal and occurred last week.
Which one of the following would be most appropriate at this time?
A) Empiric antibiotic treatment
B) A urinalysis
C) A urine culture
D) Plain abdominal radiographs
E) Pelvic ultrasonography

A) 
B) 
C) 
D) 
E) ",Reproductive: Female,,Pharmacology,,Acute Care and Diagnosis,A,"Michels TC, Sands JE: Dysuria: Evaluation and differential diagnosis in adults. Am Fam Physician 2015;92(9):778-786. | Arnold JJ, Hehn LE, Klein DA: Common questions about recurrent urinary tract infections in women. Am Fam Physician 2016;93(7):560-569."
Q2020-013,2020,"A 70-year-old  female develops  thrombocytopenia  during a prolonged  hospitalization  for
endocarditis. Her current medications include scheduled unfractionated heparin injections for
venous thromboembolism prophylaxis. You suspect heparin-induced thrombocytopenia (HIT).
Assuming that her thrombocytopenia is caused by HIT, which one of the following is the most
likely complication?
A) Anaphylaxis
B) Disseminated intravascular coagulation
C) Hemorrhage
D) Sepsis
E) Thrombosis
5

A) 
B) 
C) 
D) 
E) ",Cardiovascular,,Pharmacology,,Acute Care and Diagnosis,E,Greinacher A: Heparin-induced thrombocytopenia. N Engl J Med 2015;373(3):252-261.
Q2020-014,2020,"You are asked for your advice as part of a committee formed by your local health system to
focus on fall prevention.
Based on U.S. Preventive Services Task Force recommendations, which one of the following
interventions has the strongest evidence for preventing falls in community-dwelling older adults
at increased risk for falls?
A) Calcium supplementation
B) Vitamin D supplementation
C) Supportive footwear
D) Exercise classes
E) Cognitive-behavioral therapy

A) 
B) 
C) 
D) 
E) ",Population-Based Care,,Screening,,Preventive Care,D,"Final Recommendation Statement: Falls Prevention in Community-Dwelling Older Adults: Interventions. US Preventive Services Task Force, 2018."
Q2020-015,2020,"A 42-year-old male presents with a 10-day history of hoarseness. He also has a 2-month history
of reflux symptoms and has been taking antacids as needed. He does not take any other
medications. There is no history of fever, weight loss, night sweats, or appetite changes. You
note that the patient is hoarse, and a physical examination is normal, including HEENT,
cardiovascular, and pulmonary examinations. He is a member of a community choir that
rehearses twice a week.
In addition to voice rest, which one of the following would be most appropriate at this time?
A) Supportive care only
B) Azithromycin (Zithromax)
C) Omeprazole (Prilosec)
D) A course of prednisone

A) 
B) 
C) 
D) 
E) ",Respiratory,,Pharmacology,,Acute Care and Diagnosis,C,"House SA, Fisher EL: Hoarseness in adults. Am Fam Physician 2017;96(11):720-728."
Q2020-016,2020,"A 57-year-old male with a history of heart failure sees you for follow-up. He describes
symptoms of mild dyspnea on exertion with ordinary activities such as shopping or yard work.
An echocardiogram shows an ejection fraction of 37%.
According to the New York Heart Association criteria, this patientâ€™s heart failure would be
classified as which one of the following?
A) Class I
B) Class II
C) Class III
D) Class IV
6

A) 
B) 
C) 
D) 
E) ",Cardiovascular,,Interpretation,,Chronic Care Management,B,"The Criteria Committee of the New York Heart Association: Nomenclature and Criteria for Diagnosis of the Heart and Great Vessels, ed 9. Little Brown and Co, 1994, p 253. | Wu A: Heart failure. Ann Intern Med 2018;168(11):ITC81-ITC96."
Q2020-017,2020,"A 40-year-old runner presents with pain in the left leg. He is training for a marathon and has
been increasing his running distance in recent weeks. He reports localized pain and swelling at
the midpoint of the shin over the past 4 weeks that begins after a run and lasts for a few days,
but now the swelling and tenderness have lasted for several days and there is severe pain when
he tries to run. You suspect a tibial stress fracture.
Which one of the following imaging modalities would be indicated initially?
A) A plain film
B) Ultrasonography
C) CT
D) MRI
E) Bone scintigraphy

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,,Workup,,Acute Care and Diagnosis,A,"Arnold MJ, Moody AL: Common running injuries: Evaluation and management. Am Fam Physician 2018;97(8):510-516."
Q2020-018,2020,"A 24-year-old female presents with progressively worsening vulvar pain for 3 days. On
examination a 3Ã—3-cm tender, fluctuant mass is noted on the right labia minora. She had a
similar episode of this problem last year.
Which one of the following would be the most appropriate management?
A) Expectant management
B) Fine-needle aspiration
C) Incision and drainage
D) Marsupialization
E) Excision under general anesthesia

A) 
B) 
C) 
D) 
E) ",Integumentary,,Management,,Acute Care and Diagnosis,D,"Omole F, Kelsey RC, Phillips K, Cunningham K: Bartholin duct cyst and gland abscess: Office management. Am Fam Physician 2019;99(12):760–766."
Q2020-019,2020,"Which one of the following should NOT be consumed during pregnancy due to a potentially high
mercury content?
A) Catfish
B) Crawfish, shrimp, and lobster
C) Flounder and haddock
D) Salmon and trout
E) Shark and swordfish
7

A) 
B) 
C) 
D) 
E) ",Nonspecific,,Pharmacology,,Foundations of Care,E,"Zolotor AJ, Carlough MC: Update on prenatal care. Am Fam Physician 2014;89(3):199-208. | Advice about eating fish for women who are or might become pregnant, breastfeeding mothers, and young children. US Food and Drug Administration, updated 2019."
Q2020-020,2020,"An 18-month-old female is brought to your office by her mother for evaluation of a cough. The
patient has had low-grade fevers and a runny nose for 2 days. She now has a cough that is worse
at night. On examination she has a temperature of 37.5Â°C (99.5Â°F), a pulse rate of 120
beats/min, a respiratory rate of 30/min, and an oxygen saturation of 92% on room air. She is
noted to have hoarseness, mild inspiratory stridor, and a barking cough. She does not have
drooling or a muffled voice.
Which one of the following should be ordered to confirm the diagnosis?
A) No further testing
B) A CBC
C) A viral culture
D) Rapid antigen testing
E) A radiograph of the neck

A) 
B) 
C) 
D) 
E) ",Respiratory,,Diagnosis,,Acute Care and Diagnosis,A,"Smith DK, McDermott AJ, Sullivan JF: Croup: Diagnosis and management. Am Fam Physician 2018;97(9):575-580."
Q2020-021,2020,"A 25-year-old male presents with a 4-month history of crampy abdominal pain, diarrhea, and
fatigue.  His  symptoms  began  gradually  but  have  become  more  severe  and  he  is  now
experiencing rectal bleeding. He says that his abdominal pain seems to temporarily improve after
eating. He has smoked five cigarettes per day for the past 8 years. He is surprised to learn that
he has lost 7 kg (15 lb) when he is weighed today.
His vital signs include a blood pressure of 116/70 mm Hg, a heart rate of 76 beats/min, a
respiratory rate of 12/min, and a temperature of 37.7Â°C (99.9Â°F). A physical examination
reveals abdominal tenderness and mild distention. An anorectal examination is significant for a
perianal fistula. A laboratory evaluation is notable for mild anemia. His kidney and liver
function are normal.
Which one of the following is the most likely diagnosis?
A) Celiac disease
B) Chronic pancreatitis
C) Crohnâ€™s disease
D) Irritable bowel syndrome
E) Ulcerative colitis

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,,Diagnosis,,Acute Care and Diagnosis,C,"Jameson JL, Fauci AS, Kasper DL, et al (eds): Harrison’s Principles of Internal Medicine, ed 20. McGraw-Hill, 2018, p 2647. | Veauthier B, Hornecker JR: Crohn’s disease: Diagnosis and management. Am Fam Physician 2018;98(11):661-669."
Q2020-022,2020,"A 34-year-old female at 32 weeks gestation presents with a right-sided, pounding headache that
began 8 hours ago and is similar to headaches she has had in the past. She is sensitive to light
and sound, and has vomited several times since the onset of pain. She has taken acetaminophen
without relief. She takes prenatal vitamins but no other routine medications. On examination her
blood pressure is normal.
Which one of the following would be the most appropriate treatment for this patient?
A) Dihydroergotamine
B) Metoclopramide (Reglan)
C) Naproxen
D) Oxycodone (OxyContin)
E) Sumatriptan (Imitrex)
8

A) 
B) 
C) 
D) 
E) ",Nonspecific,,Treatment,,Acute Care and Diagnosis,B,"Briggs GG, Freeman RK, Towers CV, Forinash AB (eds): Drugs in Pregnancy and Lactation, ed 11. Wolters Kluwer, 2017. | Mayans L, Walling A: Acute migraine headache: Treatment strategies. Am Fam Physician 2018;97(4):243-251."
Q2020-023,2020,"Which one of the following U-100 insulin products has the longest duration of action?
A) Degludec (Tresiba)
B) Glargine (Lantus)
C) Isophane NPH (Humulin N)
D) Lispro (Humalog)
E) Regular (Humulin R)

A) 
B) 
C) 
D) 
E) ",Endocrine,,Management,,Acute Care and Diagnosis,A,"Howard-Thompson A, Khan M, Jones M, George CM: Type 2 diabetes mellitus: Outpatient insulin management. Am Fam Physician 2018;97(1):29-37."
Q2020-024,2020,"When performing a geriatric assessment, which one of the following is an instrumental activity
of daily living?
A) Bathing
B) Dressing
C) Transferring between the bed and a chair
D) Using the telephone
E) Using the toilet

A) 
B) 
C) 
D) 
E) ",Patient-Based Systems,,Pharmacology,,Foundations of Care,D,"Tatum III PE, Talebreza S, Ross JS: Geriatric assessment: An office-based approach. Am Fam Physician 2018;97(12):776-784."
Q2020-025,2020,"A 21-year-old female sees you for a medical evaluation prior to admission to a treatment
program for anorexia nervosa. The effects of anorexia on the hypothalamic-pituitary axis can
cause which one of the following?
A) Bone loss
B) Elevated testosterone
C) Hyperglycemia
D) Hypothyroidism
E) Menorrhagia

A) 
B) 
C) 
D) 
E) ",Endocrine,,Workup,,Chronic Care Management,A,"Grinspoon S, Thomas E, Pitts S, et al: Prevalence and predictive factors for regional osteopenia in women with anorexia nervosa. Ann Intern Med 2000;133(10):790-794. | Harrington BC, Jimerson M, Haxton C, Jimerson DC: Initial evaluation, diagnosis, and treatment of anorexia nervosa and bulimia nervosa. Am Fam Physician 2015;91(1):46-52."
Q2020-026,2020,"A 9-year-old male with a history of moderate persistent asthma is brought to the emergency
department with an acute exacerbation. His symptoms began with a runny nose and nasal
congestion 2 days ago. His parents state that he has not had any fevers or chills and he was
eating and drinking well until a few hours ago when his breathing started to appear more
labored.  After  multiple  treatments  with  inhaled  albuterol  (Proventil,  Ventolin)  and  oral
prednisolone he remains tachypneic and wheezy.
Which one of the following intravenous medications should be added to the patientâ€™s current
treatment to reduce the likelihood of hospital admission?
A) Ketorolac
B) Magnesium sulfate
C) Methylprednisolone
D) Omalizumab (Xolair)
E) Theophylline
9

A) 
B) 
C) 
D) 
E) ",Respiratory,,Pharmacology,,Acute Care and Diagnosis,B,"Griffiths B, Kew KM. Intravenous magnesium sulfate for treating children with acute asthma in the emergency department. Cochrane Database Syst Rev. 2016;4(4):CD011050. | Stojak BJ, Halajian E, Guthmann RA, Nashelsky J: Intravenous magnesium sulfate for acute asthma exacerbations. Am Fam Physician 2019;99(2):127-128. | Global Strategy for Asthma Management and Prevention. Global Initiative for Asthma (GINA), updated 2020."
Q2020-027,2020,"A 10-year-old female is brought to your office for a sports preparticipation examination. You
note thoracic rib asymmetry during the Adams forward bend test. Radiographs confirm
rightward thoracolumbar scoliosis with a Cobb angle of 32Â°.
Which one of the following would be most appropriate at this time?
A) Genetic testing (ScoliScore)
B) MRI of the thoracic and lumbar spine without contrast
C) Scoliosis radiography in 1 year
D) Referral to physical therapy
E) Referral to a pediatric orthopedist

A) 
B) 
C) 
D) 
E) ",Musculoskeletal,,Prognosis/Risk,,Acute Care and Diagnosis,E,"Tan KJ, Moe MM, Vaithinathan R, Wong HK: Curve progression in idiopathic scoliosis: Follow-up study to skeletal maturity. Spine (Phila Pa | Horne JP, Flannery R, Usman S: Adolescent idiopathic scoliosis: Diagnosis and management. Am Fam Physician 2014;89(3):193-198."
Q2020-028,2020,"An 85-year-old nursing home patient with dementia who has bilateral hearing aids has been
slightly more confused over the past 2 weeks according to the staff. He is also speaking at a
louder volume than normal. He does not have any pain, but an examination shows impacted
cerumen in both ears.
Which one of the following would be most appropriate in the management of this patient?
A) No therapy
B) Irrigation of the ears with cold water
C) Use of olive oil drops
D) Removal of the cerumen using peroxide
E) Restraining the patient and attempting manual removal of the cerumen

A) 
B) 
C) 
D) 
E) ",Special Sensory,,Treatment,,Acute Care and Diagnosis,D,"Michaudet C, Malaty J. Cerumen impaction: Diagnosis and management. Am Fam Physician 2018;98(8):525-529."
Q2020-029,2020,"A previously healthy 18-year-old female presents with finger pain. About 5 days ago she started
to have mild burning of her left distal index finger. Two days later she developed worsening pain
and redness of her fingertip. She does not remember injuring her finger or having a similar
problem previously.
On examination you note erythema of the medial palmar tip of her affected finger, with several
vesicles that have opaque fluid in them. The distal digital pulp is soft but tender.
Which one of the following is the most appropriate treatment for this condition?
A) Warm water soaks
B) Pain control and dressings
C) Antibiotics
D) Antifungals
E) Incision and drainage
10

A) 
B) 
C) 
D) 
E) ",Integumentary,,Treatment,,Acute Care and Diagnosis,B,"Rerucha CM, Ewing JT, Oppenlander KE, Cowan WC: Acute hand infections. Am Fam Physician 2019;99(4):228-236."
Q2020-030,2020,"A 52-year-old gravida 4 para 4 presents with bothersome incontinence, predominantly with
coughing and straining. In addition to a physical examination, urinalysis, and measurement of
postvoid residual volume, which one of the following tests is recommended as part of the initial
evaluation?
A) Cough stress testing
B) Urodynamic testing
C) Pelvic ultrasonography with a vaginal probe
D) Cystoscopy

A) 
B) 
C) 
D) 
E) ",Nephrologic,,Workup,,Acute Care and Diagnosis,A,"Committee on Practice Bulletins—Gynecology and the American Urogynecologic Society: ACOG Practice Bulletin No. 155: Urinary incontinence in women. Obstet Gynecol 2015;126(5):e66-e81. | Hu JS, Pierre EF: Urinary incontinence in women: Evaluation and management. Am Fam Physician 2019;100(6):339-348."
Q2020-031,2020,"The mother of a 1-year-old child wants to know how useful influenza vaccine is for preventing
influenza in young children. The influenza season is typically significant in your area and the
child attends day care. You answer her question by explaining how many children need to be
vaccinated in order to prevent one case of influenza.
This statistic is referred to as the
A) absolute risk reduction
B) relative risk reduction
C) number needed to treat
D) number needed to harm
E) prevalence

A) 
B) 
C) 
D) 
E) ",Population-Based Care,,Prevention,,Foundations of Care,C,"Jefferson T, Rivetti A, Di Pietrantonj C, Demicheli V: Vaccines for preventing influenza in healthy children. Cochrane Database Syst Rev 2018;2(2):CD004879. | EBM glossary of statistical terms and concepts used in evidence-based medicine. Am Fam Physician 2019;100(7):402."
Q2020-032,2020,"A 45-year-old male comes to your office for a routine health maintenance examination. His
medical history is significant for sarcoidosis, which was diagnosed 5 years ago during a workup
for hilar adenopathy seen on a routine chest radiograph. He has been entirely asymptomatic for
the past 2 years and has never required any treatment.
Which one of the following annual screenings would be most appropriate?
A) Bone density screening
B) Echocardiography
C) High-resolution CT of the chest
D) An ophthalmologic examination
E) A urinalysis

A) 
B) 
C) 
D) 
E) ",Respiratory,,Screening,,Preventive Care,D,"Soto-Gomez N, Peters JI, Nambiar AM: Diagnosis and management of sarcoidosis. Am Fam Physician 2016;93(10):840-850."
Q2020-033,2020,"A 34-year-old female has a â€œbumpâ€ on her middle finger (shown below). She thinks it has been
there approximately a month but says that it only recently began to bother her. She has not tried
to treat it.
This lesion is most likely a
A) basal cell carcinoma
B) dermatofibroma
C) keratoacanthoma
D) mucous cyst
E) wart
11
Item #33
12

A) 
B) 
C) 
D) 
E) ",Integumentary,,Treatment,,Acute Care and Diagnosis,D,"Habif TP: Clinical Dermatology: A Color Guide to Diagnosis and Therapy, ed 6. Elsevier, 2016, pp 530, 735, 776, 783."
Q2020-034,2020,"A 73-year-old female sees you for the first time for a health maintenance visit. Her medical
history includes hyperlipidemia, GERD, insomnia, and osteoarthritis, but she is otherwise
healthy. Her estimated 10-year risk of atherosclerotic cardiovascular disease is 14%. She lives
independently. She has a past history of alcohol abuse but has not used alcohol in 20 years, and
is a lifetime nonsmoker. Her current medication regimen includes aspirin, 81 mg once daily;
melatonin, 3 mg at bedtime; acetaminophen, 500 mg three times daily; atorvastatin (Lipitor),
20 mg once daily; and famotidine (Pepcid), 20 mg once daily.
Today her blood pressure is 130/70 mm Hg, pulse rate 72 beats/min, and oxygen saturation 95%
on room air.
Which one of the following changes to her current medication regimen would improve the
likelihood of benefit and reduce the likelihood of harm?
A) Stopping aspirin
B) Stopping melatonin
C) Stopping acetaminophen and starting diclofenac, 50 mg twice daily
D) Stopping atorvastatin and starting rosuvastatin (Crestor), 40 mg at bedtime
E) Stopping famotidine and starting omeprazole (Prilosec), 20 mg once daily

A) 
B) 
C) 
D) 
E) ",Cardiovascular,,Pharmacology,,Chronic Care Management,A,"Final Recommendation Statement: Aspirin Use to Prevent Cardiovascular Disease and Colorectal Cancer: Preventive Medication. US Preventive Services Task Force, 2016. | McNeil JJ, Nelson MR, Woods RL, et al: Effect of aspirin on all-cause mortality in the healthy elderly. N Engl J Med 2018;379(16):1519-1528. | Lin KW, Middleton J: Rethinking aspirin for the primary prevention of cardiovascular disease. Am Fam Physician 2019;99(11):670-671."
Q2020-035,2020,"A 14-year-old female is brought to your office as a new patient for a routine well child
examination. She has had very little medical care since the pre-kindergarten evaluation. She feels
well and does not take any medications. Her past medical, surgical, family, and social histories
are  unremarkable. A  review  of systems  is  notable for  no  history of  menstruation. An
examination is notable for a height at the first percentile and a lack of any breast development.
Laboratory studies reveal an elevated FSH level.
Which one of the following would be the most appropriate next step?
A) Follow-up every 3â€“6 months for assessment of pubertal development
B) A corticotropin stimulation test
C) Karyotyping
D) Radiography of the hand for bone age
E) MRI of the brain and pituitary
13

A) 
B) 
C) 
D) 
E) ",Endocrine,,Management,,Acute Care and Diagnosis,C,"Morgan T: Turner syndrome: Diagnosis and management. Am Fam Physician 2007;76(3):405-410. | Barstow C, Rerucha C: Evaluation of short and tall stature in children. Am Fam Physician 2015;92(1):43-50. | Klein DA, Emerick JE, Sylvester JE, Vogt KS: Disorders of puberty: An approach to diagnosis and management. Am Fam Physician 2017;96(9):590-599."
