article_id,tier,classification,top_url,title,author1,year,source_type,query_used,exa_title
ART-1712,VC_pass,direct_pdf,https://www.aafp.org/pubs/afp/issues/2014/0301/p359.pdf,A stepwise approach to the interpretation of pulmonary function tests,Johnson,2014,AFP,A stepwise approach to the interpretation of pulmonary function tests Johnson 2014,
ART-1930,VC_pass,direct_pdf,https://dl.icdst.org/pdfs/files4/0151c55f69e2fcd3a6d1f99b6430a288.pdf,EBM glossary,American Family Physician,2018,Other Journal,EBM glossary American 2018 PDF,Evidence-Based Medicine E-Book: How to Practice and Teach EBM
ART-0024,VC_fail,direct_pdf,https://www.aafp.org/dam/AAFP/documents/patient_care/everyone_project/team-based-approach.pdf,Advancing health equity by addressing the social determinants of health in famil,Advancing,2019,Other Journal,Advancing health equity by addressing the social determinants of health in famil Advancing 2019 PDF,Addressing Social Determinants of Health in Primary Care: Team-Based Approach for Advancing Health Equity
ART-0080,VC_fail,direct_pdf,https://www.auanet.org/documents/education/clinical-guidance/prostate-cancer-detection.pdf,American Urological Association: Offer PSA screening for detecting prostate cancer only after engaging in shared decision making,American Urological Association,2015,Other Journal,American Urological Association: Offer PSA screening for detecting prostate cancer only after engaging in shared decision making American 2015 PDF,
ART-0083,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2022/1200/medication-safety-breastfeeding.pdf,Stimulant therapy during breastfeeding,Anderson,2021,Other Journal,Stimulant therapy during breastfeeding Anderson 2021 PDF,
ART-0107,VC_fail,direct_pdf,https://internetbookofemergencymedicine.com/wp-content/uploads/2022/05/managing-patients-with-acute-visual-loss.pdf,Acute vision loss,Bagheri,2015,Other Journal,Acute vision loss Bagheri 2015 PDF,[PDF] Managing Patients With Acute Visual Loss
ART-0125,VC_fail,direct_pdf,https://www.aafp.org/dam/brand/aafp/pubs/afp/issues/2015/0701/p43.pdf,Evaluation of short and tall stature in children,Barstow,2015,AFP,Evaluation of short and tall stature in children Barstow 2015,Evaluation of Short and Tall Stature in Children
ART-0142,VC_fail,direct_pdf,https://www.acep.org/siteassets/new-pdfs/preps/evaluation-and-treatment-of-minors---prep.pdf,Evaluation and treatment of minors,Benjamin,2018,Other Journal,Evaluation and treatment of minors Benjamin 2018 PDF,[PDF] Evaluation and Treatment of Minors - ACEP
ART-0229,VC_fail,direct_pdf,https://cdn.amegroups.cn/journals/amepc/files/journals/3/articles/46514/public/46514-PB2-6794-R2.pdf,"Safety and efficacy of mirabegron: analysis of a large integrated clinical trial database of patients with overactive bladder receiving mirabegron, antimuscarinics, or placebo",Chapple,2020,Other Journal,"Safety and efficacy of mirabegron: analysis of a large integrated clinical trial database of patients with overactive bladder receiving mirabegron, antimuscarinics, or placebo Chapple 2020 PDF",[PDF] Safety and efficacy of mirabegron: analysis of a large integrated ...
ART-0244,VC_fail,direct_pdf,https://www.smilesforlifeoralhealth.org/wp-content/uploads/2025/07/peds_2020034637.pdf,e2020034637,Clark,2020,Pediatrics,e2020034637 Clark 2020,[PDF] Fluoride Use in Caries Prevention in the Primary Care Setting
ART-0275,VC_fail,direct_pdf,https://www.cdc.gov/mmwr/volumes/65/rr/pdfs/rr6504.pdf,"US selected practice recommendations for contraceptive use, 2016",Curtis,2016,Other Journal,"US selected practice recommendations for contraceptive use, 2016 Curtis 2016 PDF",
ART-0288,VC_fail,direct_pdf,https://www.bmj.com/content/bmj/359/bmj.j5285.full.pdf,Acquired triggering of the fingers and thumb in adults,David,2017,BMJ,Acquired triggering of the fingers and thumb in adults David 2017,Acquired triggering of the fingers and thumb in adults
ART-0310,VC_fail,direct_pdf,https://www.genome.gov/sites/default/files/media/files/2022-04/Talking-Glossary-Definitions.pdf,Dictionary of genetics terms: autosomal recessive inheritance,Dictionary,2025,Guideline/Org,Dictionary of genetics terms: autosomal recessive inheritance Dictionary 2025 PDF,
ART-0312,VC_fail,direct_pdf,https://2024.sci-hub.se/8537/b4920a0415d14bd37fe5450017c1f69b/dinnes2021.pdf,CD013705,Dinnes,2021,Other Journal,CD013705 Dinnes 2021 PDF,
ART-0321,VC_fail,direct_pdf,https://www.doherty.edu.au/uploads/content_doc/Technical_report_4_update_29July2020.pdf,E773-E778,Doherty,2020,Other Journal,E773-E778 Doherty 2020 PDF,
ART-0380,VC_fail,direct_pdf,https://breathe.ersjournals.com/content/breathe/17/4/210113.full.pdf,Stating the obvious: intravenous magnesium sulphate should be the first parenteral bronchodilator in paediatric asthma exacerbations unresponsive to first-line therapy,Erumbala,2021,Other Journal,Stating the obvious: intravenous magnesium sulphate should be the first parenteral bronchodilator in paediatric asthma exacerbations unresponsive to first-line therapy Erumbala 2021 PDF,Stating the obvious: intravenous magnesium sulphate should be the first parenteral bronchodilator in paediatric asthma exacerbations unresponsive to first-line therapy
ART-0385,VC_fail,direct_pdf,https://www.spine.org/Documents/ResearchClinicalCare/Guidelines/Spondylolisthesis.pdf,Evidence-Based Clinical Guidelines for Multidisciplinary Spine Care: Diagnosis and Treatment of Degenerative Lumbar Spondylolisthesis,Evidence-Based,2014,Textbook,Evidence-Based Clinical Guidelines for Multidisciplinary Spine Care: Diagnosis and Treatment of Degenerative Lumbar Spondylolisthesis Evidence-Based 2014,[PDF] Diagnosis and Treatment of Degenerative Lumbar Spondylolisthesis
ART-0395,VC_fail,direct_pdf,https://ard.bmj.com/content/annrheumdis/80/1/14.full.pdf,Update on the diagnosis and management of systemic lupus erythematosus,Fanouriakis,2021,Other Journal,Update on the diagnosis and management of systemic lupus erythematosus Fanouriakis 2021 PDF,Update οn the diagnosis and management of systemic lupus erythematosus
ART-0431,VC_fail,direct_pdf,https://www.uspreventiveservicestaskforce.org/uspstf/sites/default/files/file/supporting_documents/vitamins-multivitamins-mineral-suppl-cvd-cancer-prev-bulletin.pdf,"Vitamin, Mineral, And Multivitamin Supplementation To Prevent Cardiovascular Disease And Cancer: Preventive Medication",Final Recommendation Statement: Vitamin,2022,Guideline/Org,"Vitamin, Mineral, And Multivitamin Supplementation To Prevent Cardiovascular Disease And Cancer: Preventive Medication Final 2022 PDF",
ART-0440,VC_fail,direct_pdf,https://www.cdc.gov/flu/pdf/freeresources/general/whats-new-2017-2018-factsheet.pdf,Flu vaccine and people with egg allergies. Centers for Disease Control and Preve,Flu,2017,Guideline/Org,Flu vaccine and people with egg allergies. Centers for Disease Control and Preve Flu 2017 PDF,Pregnant Women Need a Flu Shot.
ART-0497,VC_fail,direct_pdf,https://goldcopd.org/wp-content/uploads/2023/03/GOLD-2023-ver-1.3-17Feb2023_WMV.pdf,"global strategy for the diagnosis, management, and prevention of chronic obstructive pulmonary disease",Global,2023,Other Journal,"global strategy for the diagnosis, management, and prevention of chronic obstructive pulmonary disease Global 2023 PDF","[PDF] 2023 Global Strategy for Prevention, Diagnosis and Management of ..."
ART-0617,VC_fail,direct_pdf,https://www.cdc.gov/vaccines/hcp/imz-schedules/downloads/past/2021-child.pdf,Immunization schedules: Catch-up immunization schedule,Immunization,2021,Guideline/Org,Immunization schedules: Catch-up immunization schedule Immunization 2021 PDF,
ART-0619,VC_fail,direct_pdf,https://optn.transplant.hrsa.gov/media/4225/bp_202012_align_2020_phs_guideline.pdf,"Infectious disease, HLA, and ABO donor qualification testing. The American Natio",Infectious,,Other Journal,"Infectious disease, HLA, and ABO donor qualification testing. The American Natio Infectious PDF","Align OPTN Policy with U.S. Public Health Service Guideline, 2020"
ART-0623,VC_fail,direct_pdf,https://code-medical-ethics.ama-assn.org/sites/default/files/2022-08/2.1.2%20Decisions%20for%20adult%20patients%20who%20lack%20capacity%20--%20background%20reports.pdf,Informed consent & shared decision making: Decisions for adult patients who lack capacity: Opinion E-2.1.2,Informed,,Guideline/Org,Informed consent & shared decision making: Decisions for adult patients who lack capacity: Opinion E-2.1.2 Informed PDF,
ART-0665,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2007/0501/p1357.pdf,Pleurisy,Kass,2007,AFP,Pleurisy Kass 2007,
ART-0674,VC_fail,direct_pdf,https://brpt.org/wp-content/uploads/kent-et-al-2021-referral-of-adults-with-obstructive-sleep-apnea-for-surgical-consultation-an-american-academy-of-sleep.pdf,Referral of adults with obstructive sleep apnea for surgical consultation: an American Academy of Sleep Medicine clinical practice guideline,Kent,2021,Guideline/Org,Referral of adults with obstructive sleep apnea for surgical consultation: an American Academy of Sleep Medicine clinical practice guideline Kent 2021 PDF,[PDF] Referral of adults with obstructive sleep apnea for surgical consultation
ART-0772,VC_fail,direct_pdf,https://static1.squarespace.com/static/5460287de4b0263200d7d6e1/t/60ec892340121f56689a8a75/1626114341962/advances024828cg.pdf,diagnosis of venous thromboembolism,Lim,2018,Other Journal,diagnosis of venous thromboembolism Lim 2018 PDF,
ART-0794,VC_fail,direct_pdf,https://mirrors.edge.kernel.org/pub/linux/utils/cryptsetup/LUKS_docs/on-disk-format.pdf,160096,Luks,2017,Other Journal,160096 Luks 2017 PDF,
ART-0804,VC_fail,direct_pdf,https://gut.bmj.com/content/gutjnl/early/2022/08/08/gutjnl-2022-327745.full.pdf,Management of Helicobacter pylori infection: the Maastricht VI/Florence consensus report,Malfertheiner,2022,Other Journal,Management of Helicobacter pylori infection: the Maastricht VI/Florence consensus report Malfertheiner 2022 PDF,Management of Helicobacter pylori infection: the Maastricht VI ... - Gut
ART-0823,VC_fail,direct_pdf,https://www.bmj.com/content/bmj/344/bmj.e2156.full.pdf,Meta-analysis of randomized trials comparing antibiotic therapy with appendectomy for acute uncomplicated (no abscess or phlegmon) appendicitis,Mason,2012,Other Journal,Meta-analysis of randomized trials comparing antibiotic therapy with appendectomy for acute uncomplicated (no abscess or phlegmon) appendicitis Mason 2012 PDF,Untitled
ART-0853,VC_fail,direct_pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021778s024lbl.pdf,Drug summary,Megestrol,,Other Journal,Drug summary Megestrol PDF,[PDF] MEGACE® ES (megestrol acetate) oral suspension
ART-0890,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2024/0800/mastitis.pdf,Mastitis: rapid evidence review,Morcomb,2024,AFP,Mastitis: rapid evidence review Morcomb 2024,Mastitis: Rapid Evidence Review | AAFP
ART-0921,VC_fail,direct_pdf,https://www.cdc.gov/mmwr/volumes/73/rr/pdfs/rr7304a1-H.pdf,"US medical eligibility criteria for contraceptive use, 2024",Nguyen,2024,Other Journal,"US medical eligibility criteria for contraceptive use, 2024 Nguyen 2024 PDF","[PDF] U.S. Medical Eligibility Criteria for Contraceptive Use, 2024 - CDC"
ART-0949,VC_fail,direct_pdf,https://ncbi.nlm.nih.gov/pmc/articles/PMC3404815/pdf/nihms229379.pdf,Too much sitting: The population health science of sedentary behavior,Owen,2010,Other Journal,Too much sitting: The population health science of sedentary behavior Owen 2010 PDF,
ART-0969,VC_fail,direct_pdf,https://www.siumed.edu/sites/default/files/u1031/asthma_pir_2019.pdf,Asthma,Patel,2019,Other Journal,Asthma Patel 2019 PDF,[PDF] Asthma - SIU School of Medicine
ART-0992,VC_fail,direct_pdf,https://pinkerton.com/media/our-insights/briefings/sources/pinkerton-risk-index-2017-report-new-order.pdf,728-753,Pinkerton,2017,Other Journal,728-753 Pinkerton 2017 PDF,
ART-1016,VC_fail,direct_pdf,https://www.acponline.org/sites/default/files/acp-policy-library/guidelines/diagnosis_and_management_of_acute_left-sided_colonic_diverticulitis_2022.pdf,Diagnosis and management of acute left-sided colonic diverticulitis: a clinical guideline from the American College of Physicians,Qaseem,2022,Annals,Diagnosis and management of acute left-sided colonic diverticulitis: a clinical guideline from the American College of Physicians Qaseem 2022,[PDF] Diagnosis and Management of Acute Left-Sided Colonic Diverticulitis
ART-1025,VC_fail,direct_pdf,https://emj.bmj.com/content/emermed/31/2/96.full.pdf,Traumatic lacerations: what are the risks for infection and has the 'golden period' of laceration care disappeared? Emerg Med J,Quinn,2014,Other Journal,Traumatic lacerations: what are the risks for infection and has the 'golden period' of laceration care disappeared? Emerg Med J Quinn 2014 PDF,Traumatic lacerations: what are the risks for infection and has the ‘golden period’ of laceration care disappeared? | Emergency Medicine Journal
ART-1089,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2023/0400/cochrane-mri-for-diagnosing-acute-appendicitis.pdf,CD009977,Rud,2019,Other Journal,CD009977 Rud 2019 PDF,Cochrane for Clinicians - AAFP
ART-1126,VC_fail,direct_pdf,https://www.argumenta.org/wp-content/uploads/2018/11/4-Argumenta-41-John-R.-Searle-Constitutive-Rules.pdf,1-8,Searle,2021,Other Journal,1-8 Searle 2021 PDF,"Microsoft Word - 4 Argumenta 4,1 - John R. Searle - Constitutive Rules.docx"
ART-1129,VC_fail,direct_pdf,https://sarpublication.com/media/articles/SARJBM_36_155-166.pdf,management,Sebaratnam,2021,Other Journal,management Sebaratnam 2021 PDF,
ART-1164,VC_fail,direct_pdf,https://www.ahrq.gov/sites/default/files/wysiwyg/research/findings/nhqrdr/2018qdr.pdf,"Six domains of health care quality. Agency for Healthcare Research and Quality,",Six,2018,Other Journal,"Six domains of health care quality. Agency for Healthcare Research and Quality, Six 2018 PDF",2018 National Healthcare Quality and Disparities Report
ART-1182,VC_fail,direct_pdf,https://www.sages.org/wp-content/uploads/2025/07/SAGES-10things-List-2022.pdf,Society of American Gastrointestinal and Endoscopic Surgeons: Don’t discharge patients presenting emergently with acute cholecystitis without first offering laparoscopic cholecystectomy,Society,2019,Other Journal,Society of American Gastrointestinal and Endoscopic Surgeons: Don’t discharge patients presenting emergently with acute cholecystitis without first offering laparoscopic cholecystectomy Society 2019 PDF,
ART-1195,VC_fail,direct_pdf,https://www.cdc.gov/mmwr/volumes/69/wr/pdfs/mm6950a6-H.pdf,"Update to CDC’s treatment guidelines for gonococcal infection, 2020",St,2020,Guideline/Org,"Update to CDC’s treatment guidelines for gonococcal infection, 2020 St 2020 PDF",
ART-1206,VC_fail,direct_pdf,https://www.optumhealtheducation.com/sites/default/files/course/2023-09/Encouraging%20Patients%20with%20MI.pdf,Encouraging patients to change unhealthy behaviors with motivational interviewing,Stewart,2011,Other Journal,Encouraging patients to change unhealthy behaviors with motivational interviewing Stewart 2011 PDF,
ART-1229,VC_fail,direct_pdf,https://geriatrictoolkit.missouri.edu/drug/Beers-Criteria-AGS-2023.pdf,The 2023 American Geriatrics Society Beers Criteria Update Expert Panel,The,2023,Other Journal,The 2023 American Geriatrics Society Beers Criteria Update Expert Panel The 2023 PDF,
ART-1244,VC_fail,direct_pdf,https://www.sleep.pitt.edu/sites/default/files/assets/Instrument%20Materials/TROXEL%2C%20GERMAIN%2C%20BUYSSE%202012%20Clinical%20management%20of%20insomnia%20with%20BBTI.pdf,Clinical management of insomnia with brief behavioral treatment (BBTI),Troxel,2012,Other Journal,Clinical management of insomnia with brief behavioral treatment (BBTI) Troxel 2012 PDF,Clinical Management of Insomnia with Brief Behavioral ...
ART-1249,VC_fail,direct_pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/202133s000lbl.pdf,"Two SSRIs, fluoxetine and escitalopram, have been approved by the FDA for the tr",Two,,Other Journal,"Two SSRIs, fluoxetine and escitalopram, have been approved by the FDA for the tr Two PDF",
ART-1277,VC_fail,direct_pdf,https://healthquality.va.gov/guidelines/MH/ptsd/VADoDPTSDCPGFinal.pdf,VA/DoD clinical practice guideline for the management of posttraumatic stress di,VA/DoD,2017,Guideline/Org,VA/DoD clinical practice guideline for the management of posttraumatic stress di VA/DoD 2017 PDF,VA/DOD Clinical Practice Guideline for the Management of Posttraumatic Stress Disorder and Acute Stress Disorder
ART-1279,VC_fail,direct_pdf,https://www.cdc.gov/vaccines/hcp/conversations/downloads/prepare-infants-508.pdf,Vaccine administration: Educate the parent and patient,Vaccine,2019,Guideline/Org,Vaccine administration: Educate the parent and patient Vaccine 2019 PDF,Preparing for Questions Parents May Ask about Vaccines
ART-1289,VC_fail,direct_pdf,https://pdfs.semanticscholar.org/bd33/f7512289697e1e087c7d79e140546d84e7d4.pdf,Gastroparesis and dumping syndrome: current concepts and management,Vavricka,2019,Other Journal,Gastroparesis and dumping syndrome: current concepts and management Vavricka 2019 PDF,Gastroparesis and Dumping Syndrome: Current Concepts and Management
ART-1294,VC_fail,direct_pdf,https://www.eshonline.org/esh-content/uploads/2019/07/1.-An-update-on-hypertensive-emergencies-and-urgencies.pdf,Hypertension update: hypertensive emergency and asymptomatic severe hypertension,Viera,2018,Other Journal,Hypertension update: hypertensive emergency and asymptomatic severe hypertension Viera 2018 PDF,Thomson
ART-1561,VC_fail,direct_pdf,https://www.cdc.gov/tb/media/pdfs/Latent-TB-Infection-A-Guide-for-Primary-Health-Care-Providers.pdf,Latent Tuberculosis Infection: A Guide for Primary Health Care Providers,National Center for HIV/AIDS,2013,Guideline/Org,Latent Tuberculosis Infection: A Guide for Primary Health Care Providers National 2013 PDF,
ART-1586,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2017/0715/p101.pdf,Common herbal dietary supplement—Drug interactions,Asher,2017,AFP,Common herbal dietary supplement—Drug interactions Asher 2017,
ART-1607,VC_fail,direct_pdf,https://2024.sci-hub.se/6408/72a9b477b490702e82b79a3c46a37d0b/sultan2017.pdf,Irritable bowel syndrome,Sultan,2017,Annals,Irritable bowel syndrome Sultan 2017,
ART-1639,VC_fail,direct_pdf,https://theromefoundation.org/wp-content/uploads/bowel-disorders.pdf,Bowel disorders,Mearin,2016,Other Journal,Bowel disorders Mearin 2016 PDF,
ART-1661,VC_fail,direct_pdf,https://www.accp.com/docs/bookstore/psap/p13b1_m1ch.pdf,Choby B: Diabetes update: New pharmacotherapy for type 2 diabetes,Choby,2017,Other Journal,Choby B: Diabetes update: New pharmacotherapy for type 2 diabetes Choby 2017 PDF,[PDF] New Pharmacotherapies for Type 2 Diabetes - ACCP
ART-1663,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2016/0801/p236.pdf,Premenstrual syndrome and premenstrual dysphoric disorder,Hofmeister,2016,AFP,Premenstrual syndrome and premenstrual dysphoric disorder Hofmeister 2016,
ART-1676,VC_fail,direct_pdf,https://www.cmaj.ca/content/cmaj/185/15/1317.full.pdf,Croup in children,Bjornson,2013,Other Journal,Croup in children Bjornson 2013 PDF,Dollco
ART-1677,VC_fail,direct_pdf,https://www.thoracic.org/statements/resources/copd/choosing-wisely-adult-pulmonary-list.pdf,An official American Thoracic Society/American College of Chest Physicians policy statement: The Choosing Wisely top five list in adult pulmonary medicine,Wiener,2014,Chest,An official American Thoracic Society/American College of Chest Physicians policy statement: The Choosing Wisely top five list in adult pulmonary medicine Wiener 2014,chest140670.indd
ART-1756,VC_fail,direct_pdf,https://www.aafp.org/pubs/afp/issues/2015/0801/p187.pdf,Rosacea: Diagnosis and treatment,Oge,2015,AFP,Rosacea: Diagnosis and treatment Oge 2015,
ART-1770,VC_fail,direct_pdf,https://effectivehealthcare.ahrq.gov/sites/default/files/pdf/cer-195-uterine-fibroids-final-revision.pdf,Management of uterine fibroids,Hartmann,2017,Other Journal,Management of uterine fibroids Hartmann 2017 PDF,Management of Uterine Fibroids - Effective Health Care Program
ART-1775,VC_fail,direct_pdf,https://renaissance.stonybrookmedicine.edu/sites/default/files/worm-infections-PIR-2015.pdf,Worm infections in children,Weatherhead,2015,Other Journal,Worm infections in children Weatherhead 2015 PDF,PIR20140076 341..354
ART-1787,VC_fail,direct_pdf,https://goldcopd.org/wp-content/uploads/2017/02/wms-GOLD-2017-FINAL.pdf,"Global Strategy for the Diagnosis, Management, and Prevention of Chronic Obstruc",Global,2017,Other Journal,"Global Strategy for the Diagnosis, Management, and Prevention of Chronic Obstruc Global 2017 PDF",[PDF] Global Initiative for Chronic Obstructive Lung D isease
